temperature	helm_energy	Cv
0.0	-8.908878471	0.0
2.0	-8.908878471	0.0
4.0	-8.908878471	5.9e-06
6.0	-8.908878471125	3.44375e-05
8.0	-8.908878471375	8.9275e-05
10.0	-8.908878472125	0.0001772125
12.0	-8.908878473625	0.000307425
14.0	-8.908878476125	0.000489025
16.0	-8.90887848	0.000731025
18.0	-8.90887848575	0.0010424375
20.0	-8.908878493875001	0.001432375
22.0	-8.90887850475	0.00191005
24.0	-8.908878519125	0.002484875
26.0	-8.90887853775	0.00316645
28.0	-8.908878561125	0.0039645875
30.0	-8.90887859025	0.0048893375
32.0	-8.908878625875001	0.0059510875
34.0	-8.908878668875001	0.007160475
36.0	-8.908878720375	0.0085285875
38.0	-8.908878781375	0.0100668875
40.0	-8.908878853000001	0.0117873625
42.0	-8.908878936375	0.0137025625
44.0	-8.90887903275	0.0158257375
46.0	-8.908879143625	0.01817085
48.0	-8.90887927025	0.02075275
50.0	-8.908879414125	0.02358725
52.0	-8.908879576875	0.0266911875
54.0	-8.90887976025	0.03008255
56.0	-8.908879965875	0.033780475
58.0	-8.908880195750001	0.0378053375
60.0	-8.9088804515	0.0421787125
62.0	-8.9088807355	0.0469234
64.0	-8.90888104975	0.0520633125
66.0	-8.908881396625	0.057623475
68.0	-8.908881778375001	0.063629825
70.0	-8.9088821975	0.0701091875
72.0	-8.90888265675	0.0770890375
74.0	-8.908883158875	0.0845973875
76.0	-8.90888370675	0.0926626
78.0	-8.908884303375	0.1013132375
80.0	-8.908884952000001	0.110577825
82.0	-8.908885655875	0.1204847125
84.0	-8.9088864185	0.1310619
86.0	-8.908887243625001	0.1423368875
88.0	-8.908888135	0.1543364625
90.0	-8.908889096375	0.1670866375
92.0	-8.908890132125	0.1806124625
94.0	-8.9088912465	0.1949379625
96.0	-8.90889244375	0.2100860125
98.0	-8.9088937285	0.2260782875
100.0	-8.908895105625	0.242935175
102.0	-8.90889658	0.260675725
104.0	-8.908898156500001	0.2793176625
106.0	-8.9088998405	0.298877325
108.0	-8.90890163725	0.319369675
110.0	-8.90890355225	0.3408083125
112.0	-8.90890559125	0.3632054625
114.0	-8.90890776	0.3865720375
116.0	-8.908910064375	0.4109176375
118.0	-8.9089125105	0.4362505875
120.0	-8.9089151045	0.4625780125
122.0	-8.908917852625	0.4899058375
124.0	-8.908920761500001	0.518238875
126.0	-8.9089238375	0.5475808375
128.0	-8.908927087375	0.57793445
