temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
0.0	-8.806942094250001	-8.851551562874999	-8.88427341325	-8.906277799625	-8.918476791625	-8.921683952625001	-8.916717163125	-8.904383571	-8.885322444125	-8.860016088124999	-8.829186562624999
2.0	-8.806942094250001	-8.851551562874999	-8.88427341325	-8.906277799625	-8.918476791625	-8.921683952625001	-8.916717163125	-8.904383571	-8.885322444125	-8.860016088124999	-8.829186562624999
4.0	-8.806942094250001	-8.851551562874999	-8.88427341325	-8.906277799625	-8.918476791625	-8.921683952625001	-8.916717163125	-8.904383571	-8.885322444125	-8.860016088124999	-8.829186562624999
6.0	-8.806942094250001	-8.851551562874999	-8.884273413375	-8.906277799625	-8.91847679175	-8.921683952750001	-8.91671716325	-8.904383571125	-8.88532244425	-8.86001608825	-8.82918656275
8.0	-8.806942094625	-8.851551563249998	-8.884273413625001	-8.9062778	-8.918476792125	-8.921683953125001	-8.916717163625	-8.9043835715	-8.885322444625	-8.860016088624999	-8.829186563124999
10.0	-8.806942095250001	-8.851551563874999	-8.884273414375	-8.906277800749999	-8.918476792875	-8.921683954	-8.9167171645	-8.9043835725	-8.885322445625	-8.86001608975	-8.82918656425
12.0	-8.8069420965	-8.851551565249999	-8.88427341575	-8.906277802249999	-8.918476794375	-8.921683955625001	-8.91671716625	-8.90438357425	-8.8853224475	-8.86001609175	-8.829186566499999
14.0	-8.806942098750001	-8.8515515675	-8.884273418125	-8.90627780475	-8.918476797125	-8.921683958375	-8.916717169125	-8.904383577375	-8.885322450750001	-8.860016095125	-8.829186570125
16.0	-8.806942102125001	-8.851551571124999	-8.884273422	-8.906277808625	-8.91847680125	-8.92168396275	-8.91671717375	-8.904383582125	-8.885322455875	-8.8600161005	-8.82918657575
18.0	-8.80694210725	-8.851551576375	-8.8842734275	-8.9062778145	-8.91847680725	-8.921683969	-8.916717180375	-8.904383589125	-8.88532246325	-8.860016108375	-8.829186584
20.0	-8.806942114375001	-8.851551583874999	-8.88427343525	-8.906277822625	-8.918476815750001	-8.921683978	-8.91671718975	-8.904383599	-8.885322473625001	-8.860016119374999	-8.829186595625
22.0	-8.806942124	-8.851551594	-8.88427344575	-8.906277833625	-8.918476827375	-8.921683990125	-8.916717202500001	-8.9043836125	-8.88532248775	-8.86001613425	-8.829186611375
24.0	-8.806942136750001	-8.851551607249998	-8.884273459625	-8.906277848124999	-8.9184768425	-8.921684006000001	-8.916717219375	-8.904383630125	-8.885322506375001	-8.860016153875	-8.829186632125
26.0	-8.806942153125	-8.851551624374999	-8.8842734775	-8.906277866875	-8.918476862125	-8.921684026625	-8.916717240875	-8.904383652875	-8.885322530375001	-8.86001617925	-8.829186658874999
28.0	-8.806942173875001	-8.851551645999999	-8.884273500125001	-8.9062778905	-8.918476886875	-8.921684052625	-8.91671726825	-8.904383681625	-8.885322560625001	-8.860016211125	-8.829186692624999
30.0	-8.806942199625	-8.851551672874999	-8.884273528125	-8.906277919875	-8.918476917625	-8.921684084875	-8.916717302125	-8.90438371725	-8.885322598250001	-8.860016250874999	-8.829186734624999
32.0	-8.806942231125001	-8.851551705624999	-8.8842735625	-8.90627795575	-8.918476955375	-8.921684124375	-8.916717343625	-8.904383760875	-8.885322644250001	-8.860016299375	-8.829186785875
34.0	-8.806942269250001	-8.851551745375	-8.884273604	-8.906277999124999	-8.918477000875	-8.921684172	-8.91671739375	-8.90438381375	-8.885322699875001	-8.860016358125	-8.829186847999999
36.0	-8.806942314750001	-8.851551792999999	-8.884273653625	-8.906278051125	-8.918477055250001	-8.921684229125	-8.91671745375	-8.90438387675	-8.885322766375001	-8.860016428375	-8.829186922125
38.0	-8.80694236875	-8.851551849249999	-8.8842737125	-8.906278112625	-8.918477119750001	-8.921684296750001	-8.91671752475	-8.9043839515	-8.885322845125001	-8.8600165115	-8.829187009875
40.0	-8.806942432125	-8.851551915249999	-8.884273781500001	-8.906278184875	-8.918477195375	-8.921684376	-8.916717608125	-8.90438403925	-8.885322937500002	-8.860016608999999	-8.829187113
42.0	-8.806942505875	-8.851551992249998	-8.884273861875	-8.906278268874999	-8.9184772835	-8.921684468375	-8.916717705125	-8.904384141375001	-8.885323045125	-8.860016722625	-8.829187233125
44.0	-8.806942591125	-8.851552081249999	-8.884273954875	-8.90627836625	-8.918477385375	-8.921684575250001	-8.9167178175	-8.904384259625001	-8.885323169625002	-8.860016854125	-8.829187371875
46.0	-8.80694268925	-8.851552183499999	-8.88427406175	-8.906278477999999	-8.9184775025	-8.921684698125	-8.9167179465	-8.904384395375	-8.885323312750002	-8.860017005125	-8.8291875315
48.0	-8.80694280125	-8.851552300375	-8.88427418375	-8.90627860575	-8.91847763625	-8.921684838375	-8.916718094	-8.904384550625	-8.88532347625	-8.860017177749999	-8.829187713875
50.0	-8.806942928625	-8.85155243325	-8.8842743225	-8.906278750875	-8.918477788375	-8.921684997875001	-8.916718261625	-8.904384727	-8.885323662000001	-8.860017373875	-8.829187921125
52.0	-8.806943072625002	-8.851552583499998	-8.8842744795	-8.906278915125	-8.918477960375	-8.921685178375	-8.916718451125	-8.9043849265	-8.885323872250002	-8.860017595875	-8.829188155499999
54.0	-8.806943234875002	-8.851552752749999	-8.884274656375	-8.906279099999999	-8.918478154125001	-8.921685381500001	-8.91671866475	-8.904385151125	-8.885324108875	-8.860017845749999	-8.8291884195
56.0	-8.806943416875	-8.8515529425	-8.884274854625	-8.9062793075	-8.918478371500001	-8.921685609375	-8.916718904125	-8.904385403125	-8.885324374375001	-8.860018126	-8.829188715625
58.0	-8.806943620250001	-8.851553154625	-8.884275076125	-8.906279539249999	-8.91847861425	-8.921685864	-8.91671917175	-8.90438568475	-8.885324671125002	-8.86001843925	-8.829189046625
60.0	-8.806943846625002	-8.851553390749999	-8.884275322875	-8.906279797249999	-8.918478884625001	-8.921686147625001	-8.91671946975	-8.90438599825	-8.8853250015	-8.860018788	-8.829189415125
62.0	-8.806944098	-8.851553652875	-8.884275596625	-8.90628008375	-8.91847918475	-8.921686462375	-8.916719800500001	-8.90438634625	-8.885325368125	-8.860019175125	-8.829189824125
64.0	-8.806944376125001	-8.851553942999999	-8.884275899625	-8.90628040075	-8.918479516875001	-8.921686810625001	-8.916720166500001	-8.9043867315	-8.885325774	-8.860019603625	-8.82919027675
66.0	-8.806944683000001	-8.851554263125	-8.884276234125	-8.906280750625	-8.918479883375001	-8.921687195	-8.916720570375	-8.9043871565	-8.885326221875001	-8.8600200765	-8.829190776375
68.0	-8.806945020875	-8.8515546155	-8.884276602125	-8.906281135625	-8.918480286875	-8.921687618125	-8.916721015	-8.9043876245	-8.885326714875001	-8.860020597	-8.829191326375
70.0	-8.806945391875	-8.8515550025	-8.884277006375001	-8.9062815585	-8.918480729875	-8.921688082625	-8.91672150325	-8.90438813825	-8.885327256250001	-8.860021168625	-8.829191930375
72.0	-8.806945798375	-8.851555426374999	-8.88427744925	-8.90628202175	-8.918481215125	-8.921688591750002	-8.916722038125	-8.90438870125	-8.885327849375	-8.860021794875	-8.829192592125
74.0	-8.806946242875	-8.851555889875	-8.884277933375	-8.90628252825	-8.91848174575	-8.921689148250001	-8.916722623	-8.90438931675	-8.885328498000002	-8.860022479625	-8.829193315625
76.0	-8.80694672775	-8.851556395625	-8.884278461625	-8.906283080875	-8.91848232475	-8.921689755375	-8.916723261	-8.90438998825	-8.885329205500001	-8.86002322675	-8.829194105125
78.0	-8.806947256	-8.851556946499999	-8.884279036875	-8.906283682625	-8.918482955250001	-8.921690416625001	-8.916723956	-8.904390719625	-8.885329976125	-8.860024040374999	-8.829194965
80.0	-8.806947830125	-8.85155754525	-8.884279662375	-8.906284336875	-8.918483640625	-8.921691135500001	-8.916724711375	-8.904391514625	-8.885330813875001	-8.860024925	-8.82919589975
82.0	-8.806948453375	-8.851558195125	-8.884280341125	-8.906285046875	-8.918484384500001	-8.921691915625	-8.91672553125	-8.904392377375	-8.885331723	-8.860025884875	-8.829196914125
84.0	-8.80694912875	-8.851558899375	-8.8842810765	-8.90628581625	-8.918485190375	-8.921692760875	-8.9167264195	-8.90439331225	-8.885332708125	-8.860026925	-8.829198013125
86.0	-8.806949859375	-8.851559661249999	-8.88428187225	-8.9062866485	-8.918486062375	-8.921693675250001	-8.916727380375	-8.9043943235	-8.885333773625002	-8.860028050124999	-8.829199202125
88.0	-8.806950648875	-8.85156048425	-8.88428273175	-8.9062875475	-8.918487004125	-8.921694663	-8.91672841825	-8.90439541575	-8.885334924625	-8.860029265375	-8.829200486374999
90.0	-8.8069515005	-8.85156137225	-8.884283659000001	-8.906288517375	-8.91848802	-8.921695728500001	-8.916729537875	-8.904396594	-8.885336166	-8.860030576125	-8.829201871625
92.0	-8.806952418125	-8.851562328875	-8.884284658	-8.906289562125	-8.918489114375001	-8.921696876125	-8.91673074375	-8.904397863	-8.885337503250001	-8.860031987874999	-8.829203363625
94.0	-8.806953405375001	-8.851563358124999	-8.884285732625	-8.906290686124999	-8.91849029175	-8.92169811075	-8.916732041	-8.904399228125	-8.8853389415	-8.860033506499999	-8.829204968375
96.0	-8.806954466375	-8.851564464125	-8.8842868875	-8.90629189375	-8.918491556625	-8.921699437125001	-8.916733434625	-8.904400694625	-8.885340486625001	-8.860035137875	-8.829206692375
98.0	-8.806955605125001	-8.851565651125	-8.88428812675	-8.906293189625	-8.918492913875001	-8.921700860375001	-8.91673493	-8.904402268125	-8.885342144375	-8.860036888125	-8.829208541875
100.0	-8.806956826	-8.851566923499998	-8.884289455125	-8.906294578625	-8.918494368500001	-8.921702385625	-8.916736532375	-8.90440395425	-8.885343920750001	-8.860038763499999	-8.82921052375
102.0	-8.806958133250001	-8.851568285874999	-8.88429087725	-8.906296065625	-8.918495925750001	-8.921704018375001	-8.916738247625	-8.904405759	-8.885345822125	-8.860040770749999	-8.829212644875
104.0	-8.806959531375	-8.851569742874998	-8.884292398125	-8.90629765575	-8.91849759075	-8.921705764125	-8.916740081625	-8.904407688375	-8.885347854750002	-8.8600429165	-8.829214912374999
