temperature 	 Volume_T	Volume_0	Volume_thermal_expansion	Linear_thermal_expansion	Cv_calc	Linear_expansion_factor	phi
0.0	46.124130088785044	45.64128985291565	0	0.0	0.0	1.0	0
2.0	46.124130088785044	45.64128985291565	0.0	0.0	0.0	1.0	nan
4.0	46.12413014283302	45.64128985291565	5.858969383707988e-10	1.9529897945693294e-10	6.514568818080687e-06	1.000000000781196	8.427599122568731e-11
6.0	46.12413006532743	45.64128985291565	-8.401848366778162e-10	-2.8006161222593874e-10	3.7097755913554435e-05	0.9999999983196304	4.564995836457355e-11
8.0	46.12413011444423	45.64128985291565	5.324414731172456e-10	1.7748049103908185e-10	9.57852282954667e-05	1.000000001419844	9.467216256386088e-12
10.0	46.124130162025224	45.64128985291565	5.157928919439894e-10	1.719309639813298e-10	0.00019000518891027442	1.0000000017193096	5.5985084951192665e-12
12.0	46.12413019907235	45.64128985291565	4.0160239957670984e-10	1.3386746652556996e-10	0.0003295523057918893	1.0000000016064097	2.3482081282043045e-12
14.0	46.12413012421398	45.64128985291565	-8.114881499792558e-10	-2.7049604999308527e-10	0.0005241950319091009	0.9999999962130554	7.032125234348181e-12
16.0	46.12413017589836	45.64128985291565	5.60274861337078e-10	1.8675828711235934e-10	0.0007835807865750799	1.0000000029881326	2.562864084175118e-12
18.0	46.124130261841124	45.64128985291565	9.316464664496533e-10	3.1054882214988444e-10	0.0011173733854170243	1.0000000055898788	5.590666198664016e-12
20.0	46.12413028694573	45.64128985291565	2.7214176695406924e-10	9.071392231802308e-11	0.001535321932046176	1.0000000018142785	3.8575187046790986e-13
22.0	46.12413037452103	45.64128985291565	9.493436638513713e-10	3.164478879504571e-10	0.0020473244062114955	1.0000000069618535	3.8723092049958264e-12
24.0	46.12413052163674	45.64128985291565	1.5947802710774943e-09	5.315934236924981e-10	0.002663455292295351	1.0000000127582422	9.163357694808201e-12
26.0	46.12413056351127	45.64128985291565	4.5393306459372503e-10	1.5131102153124168e-10	0.003394001672231294	1.0000000039340866	6.311491954513293e-13
28.0	46.124130819039706	45.64128985291565	2.770008137236945e-09	9.233360457456483e-10	0.004249481873422376	1.0000000258534092	2.0214883524156523e-11
30.0	46.12413108162079	45.64128985291565	2.8464610340430325e-09	9.488203446810108e-10	0.00524068222233584	1.0000000284646104	1.8545178602118554e-11
32.0	46.124131372456446	45.64128985291565	3.1527494497884247e-09	1.0509164832628083e-09	0.006378708084172162	1.0000000336293275	1.9938077348171525e-11
34.0	46.124131740733944	45.64128985291565	3.992243175409608e-09	1.330747725136536e-09	0.007675003500326068	1.0000000452454227	2.823068532299897e-11
36.0	46.12413215409269	45.64128985291565	4.480937987545416e-09	1.493645995848472e-09	0.00914142863449369	1.000000053771256	3.161647231715402e-11
38.0	46.12413272389397	45.64128985291565	6.176823859075582e-09	2.0589412863585273e-09	0.010790301434057617	1.0000000782397689	5.3723905275543984e-11
40.0	46.12413325070095	45.64128985291565	5.710752130975282e-09	1.9035840436584275e-09	0.012634473866527931	1.0000000761433618	4.128350642338374e-11
42.0	46.12413401214782	45.64128985291565	8.254321722020271e-09	2.751440574006757e-09	0.014687437140555655	1.000000115560504	7.790282142238691e-11
44.0	46.12413475578496	45.64128985291565	8.061258531703148e-09	2.6870861772343824e-09	0.016963391489846397	1.0000001182317917	6.739579971084435e-11
46.0	46.12413567334402	45.64128985291565	9.946626297209562e-09	3.315542099069854e-09	0.019477351890831933	1.0000001525149365	9.342576722655493e-11
48.0	46.124136692814254	45.64128985291565	1.105137492328439e-08	3.6837916410947963e-09	0.02224527005946211	1.0000001768219988	1.0537154287391326e-10
50.0	46.12413790087092	45.64128985291565	1.3095710325194736e-08	4.365236775064912e-09	0.025284124625097548	1.0000002182618388	1.3560239873062537e-10
52.0	46.124139223596515	45.64128985291565	1.4338756831347603e-08	4.779585610449201e-09	0.02861198863695658	1.0000002485384518	1.4940512030047455e-10
54.0	46.12414074869647	45.64128985291565	1.6532557350148932e-08	5.510852450049644e-09	0.032248166143657594	1.0000002975860323	1.8300207319982294e-10
56.0	46.12414238407756	45.64128985291565	1.7728038535458125e-08	5.909346178486042e-09	0.03621316379972744	1.000000330923386	1.9432565682972354e-10
58.0	46.12414427470012	45.64128985291565	2.049493460117728e-08	6.8316448670590935e-09	0.04052881948622483	1.0000003962354023	2.403501200234183e-10
60.0	46.12414642071533	45.64128985291565	2.3263469049514957e-08	7.754489683171652e-09	0.04521819736716071	1.000000465269381	2.871271167803714e-10
62.0	46.12414871046887	45.64128985291565	2.4821635992949627e-08	8.273878664316543e-09	0.05030561777585277	1.0000005129804772	3.036150388108438e-10
64.0	46.124151261118676	45.64128985291565	2.7649830670900898e-08	9.216610223633633e-09	0.05581660923805293	1.0000005898630544	3.5050060461961245e-10
66.0	46.124154160536925	45.64128985291565	3.143058646422395e-08	1.0476862154741317e-08	0.06177778507772313	1.0000006914729023	4.219916857369175e-10
68.0	46.12415732506298	45.64128985291565	3.430443456258636e-08	1.143481152086212e-08	0.06821669339644709	1.0000007775671833	4.690359505861042e-10
70.0	46.124160698883486	45.64128985291565	3.657324816767078e-08	1.2191082722556927e-08	0.07516176044997228	1.0000008533757905	4.980988589156392e-10
72.0	46.124164557107655	45.64128985291565	4.182432926838298e-08	1.3941443089460992e-08	0.08264210908015293	1.0000010037839024	6.093635816117907e-10
