temp,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
0.0,1054.086,134.283,134.283,0.0,0.0,0.0,134.283,1054.086,134.283,0.0,0.0,0.0,134.283,134.283,1054.086,0.0,0.0,0.0,0.0,0.0,0.0,568.352,0.0,0.0,0.0,0.0,0.0,0.0,568.352,0.0,0.0,0.0,0.0,0.0,0.0,568.352
2.0,1053.9902226666666,134.27151593333332,134.27151593333332,0.0,0.0,0.0,134.27151593333332,1053.9902226666666,134.27151593333332,0.0,0.0,0.0,134.27151593333332,134.27151593333332,1053.9902226666666,0.0,0.0,0.0,0.0,0.0,0.0,568.2916798666666,0.0,0.0,0.0,0.0,0.0,0.0,568.2916798666666,0.0,0.0,0.0,0.0,0.0,0.0,568.2916798666666
4.0,1053.8945927135126,134.26017924684587,134.26017924684587,0.0,0.0,0.0,134.26017924684587,1053.8945927135126,134.26017924684587,0.0,0.0,0.0,134.26017924684587,134.26017924684587,1053.8945927135126,0.0,0.0,0.0,0.0,0.0,0.0,568.2313597333333,0.0,0.0,0.0,0.0,0.0,0.0,568.2313597333333,0.0,0.0,0.0,0.0,0.0,0.0,568.2313597333333
6.0,1053.7987478174039,134.24862761740403,134.24862761740403,0.0,0.0,0.0,134.24862761740403,1053.7987478174039,134.24862761740403,0.0,0.0,0.0,134.24862761740403,134.24862761740403,1053.7987478174039,0.0,0.0,0.0,0.0,0.0,0.0,568.1710396,0.0,0.0,0.0,0.0,0.0,0.0,568.1710396,0.0,0.0,0.0,0.0,0.0,0.0,568.1710396
8.0,1053.7029072168004,134.23708028346698,134.23708028346698,0.0,0.0,0.0,134.23708028346698,1053.7029072168004,134.23708028346698,0.0,0.0,0.0,134.23708028346698,134.23708028346698,1053.7029072168004,0.0,0.0,0.0,0.0,0.0,0.0,568.1107194666666,0.0,0.0,0.0,0.0,0.0,0.0,568.1107194666666,0.0,0.0,0.0,0.0,0.0,0.0,568.1107194666666
10.0,1053.6071231186195,134.22558945195297,134.22558945195297,0.0,0.0,0.0,134.22558945195297,1053.6071231186195,134.22558945195297,0.0,0.0,0.0,134.22558945195297,134.22558945195297,1053.6071231186195,0.0,0.0,0.0,0.0,0.0,0.0,568.0503993333333,0.0,0.0,0.0,0.0,0.0,0.0,568.0503993333333,0.0,0.0,0.0,0.0,0.0,0.0,568.0503993333333
12.0,1053.5113401035503,134.21409970355032,134.21409970355032,0.0,0.0,0.0,134.21409970355032,1053.5113401035503,134.21409970355032,0.0,0.0,0.0,134.21409970355032,134.21409970355032,1053.5113401035503,0.0,0.0,0.0,0.0,0.0,0.0,567.9900792,0.0,0.0,0.0,0.0,0.0,0.0,567.9900792,0.0,0.0,0.0,0.0,0.0,0.0,567.9900792
14.0,1053.4155709532674,134.2026238199341,134.2026238199341,0.0,0.0,0.0,134.2026238199341,1053.4155709532674,134.2026238199341,0.0,0.0,0.0,134.2026238199341,134.2026238199341,1053.4155709532674,0.0,0.0,0.0,0.0,0.0,0.0,567.9297590666666,0.0,0.0,0.0,0.0,0.0,0.0,567.9297590666666,0.0,0.0,0.0,0.0,0.0,0.0,567.9297590666666
16.0,1053.319785810391,134.19113194372437,134.19113194372437,0.0,0.0,0.0,134.19113194372437,1053.319785810391,134.19113194372437,0.0,0.0,0.0,134.19113194372437,134.19113194372437,1053.319785810391,0.0,0.0,0.0,0.0,0.0,0.0,567.8694389333333,0.0,0.0,0.0,0.0,0.0,0.0,567.8694389333333,0.0,0.0,0.0,0.0,0.0,0.0,567.8694389333333
18.0,1053.224013764559,134.17965316455914,134.17965316455914,0.0,0.0,0.0,134.17965316455914,1053.224013764559,134.17965316455914,0.0,0.0,0.0,134.17965316455914,134.17965316455914,1053.224013764559,0.0,0.0,0.0,0.0,0.0,0.0,567.8091188,0.0,0.0,0.0,0.0,0.0,0.0,567.8091188,0.0,0.0,0.0,0.0,0.0,0.0,567.8091188
