temperature	helm_energy	Cv
0.0	-8.860016088124999	0.0
2.0	-8.860016088124999	0.0
4.0	-8.860016088124999	9.1125e-06
6.0	-8.86001608825	4.8025e-05
8.0	-8.860016088624999	0.0001222875
10.0	-8.86001608975	0.0002418875
12.0	-8.86001609175	0.0004192375
14.0	-8.860016095125	0.0006667125
16.0	-8.8600161005	0.000996525
18.0	-8.860016108375	0.0014209625
20.0	-8.860016119374999	0.001952375
22.0	-8.86001613425	0.00260335
24.0	-8.860016153875	0.0033866875
26.0	-8.86001617925	0.004315425
28.0	-8.860016211125	0.00540295
30.0	-8.860016250874999	0.006662975
32.0	-8.860016299375	0.0081096125
34.0	-8.860016358125	0.0097574375
36.0	-8.860016428375	0.01162155
38.0	-8.8600165115	0.0137176875
40.0	-8.860016608999999	0.0160622625
42.0	-8.860016722625	0.01867255
44.0	-8.860016854125	0.0215667375
46.0	-8.860017005125	0.024764125
48.0	-8.860017177749999	0.028285175
50.0	-8.860017373875	0.0321516875
52.0	-8.860017595875	0.036386875
54.0	-8.860017845749999	0.0410154125
56.0	-8.860018126	0.0460635375
58.0	-8.86001843925	0.051559025
60.0	-8.860018788	0.0575311375
62.0	-8.860019175125	0.0640105875
64.0	-8.860019603625	0.0710294375
66.0	-8.8600200765	0.0786209375
68.0	-8.860020597	0.086819375
70.0	-8.860021168625	0.0956599125
72.0	-8.860021794875	0.1051783375
74.0	-8.860022479625	0.1154108875
76.0	-8.86002322675	0.126394025
78.0	-8.860024040374999	0.1381642
80.0	-8.860024925	0.1507576625
82.0	-8.860025884875	0.1642102375
84.0	-8.860026925	0.178557175
86.0	-8.860028050124999	0.1938329
88.0	-8.860029265375	0.210070925
90.0	-8.860030576125	0.2273036625
92.0	-8.860031987874999	0.245562325
94.0	-8.860033506499999	0.2648768125
96.0	-8.860035137875	0.2852755875
98.0	-8.860036888125	0.306785675
100.0	-8.860038763499999	0.3294325
102.0	-8.860040770749999	0.353239975
104.0	-8.8600429165	0.378230325
106.0	-8.860045207875	0.4044241875
108.0	-8.86004765175	0.431840525
110.0	-8.860050255625	0.4604966875
112.0	-8.860053026874999	0.4904083375
114.0	-8.860055973375	0.52158955
116.0	-8.860059102874999	0.554052775
118.0	-8.860062423499999	0.5878088875
120.0	-8.86006594325	0.6228671625
122.0	-8.860069670749999	0.6592354
124.0	-8.860073614374999	0.696919875
126.0	-8.860077782874999	0.7359253875
128.0	-8.860082185	0.776255325
130.0	-8.86008682975	0.8179116625
132.0	-8.860091726	0.8608950125
134.0	-8.860096883375	0.9052046875
136.0	-8.86010231075	0.950838675
138.0	-8.860108017875	0.9977937375
140.0	-8.86011401425	1.046065425
142.0	-8.8601203095	1.095648075
144.0	-8.8601269135	1.146534925
146.0	-8.860133835874999	1.198718075
148.0	-8.860141086625	1.2521885625
150.0	-8.860148675875	1.3069364
152.0	-8.860156613625	1.3629506
154.0	-8.860164910124999	1.4202192125
156.0	-8.860173575374999	1.4787293625
158.0	-8.860182619875	1.5384672875
160.0	-8.860192053875	1.599418375
162.0	-8.86020188775	1.6615672
164.0	-8.860212131874999	1.7248975625
166.0	-8.860222796625	1.7893925
168.0	-8.860233892624999	1.855034375
170.0	-8.860245430374999	1.92180485
172.0	-8.860257420249999	1.9896849875
174.0	-8.860269872749999	2.0586552125
176.0	-8.860282798624999	2.1286954375
178.0	-8.860296208249999	2.1997850125
180.0	-8.86031011225	2.2719028125
182.0	-8.860324520999999	2.34502725
184.0	-8.86033944525	2.4191363375
186.0	-8.860354895375	2.4942076875
188.0	-8.860370881875	2.570218575
190.0	-8.860387415249999	2.647145925
192.0	-8.860404505875	2.7249664375
194.0	-8.86042216425	2.8036565
196.0	-8.860440400749999	2.8831923375
198.0	-8.8604592255	2.963549925
200.0	-8.860478649	3.0447051375
202.0	-8.8604986815	3.1266337
204.0	-8.860519333125	3.209311225
206.0	-8.860540613875	3.292713275
208.0	-8.860562534125	3.3768153625
210.0	-8.86058510375	3.4615929875
212.0	-8.860608332624999	3.54702165
214.0	-8.860632230875	3.6330768875
216.0	-8.860656808124999	3.7197343
218.0	-8.860682074249999	3.806969575
220.0	-8.860708038875	3.894758475
222.0	-8.8607347115	3.983076925
224.0	-8.860762101999999	4.07190095
226.0	-8.8607902195	4.1612067625
228.0	-8.8608190735	4.2509707625
230.0	-8.860848673249999	4.3411695375
232.0	-8.860879028125	4.4317798875
234.0	-8.860910147	4.5227788375
236.0	-8.860942038874999	4.6141436625
238.0	-8.860974713	4.7058519
240.0	-8.861008177875	4.79788135
242.0	-8.861042442499999	4.8902101
244.0	-8.861077515249999	4.9828165125
246.0	-8.861113405	5.0756792875
248.0	-8.86115012	5.1687774125
250.0	-8.861187668625	5.2620901875
252.0	-8.861226059249999	5.355597275
254.0	-8.8612653	5.449278625
256.0	-8.86130539875	5.543114575
258.0	-8.86134636375	5.6370857875
260.0	-8.861388202625	5.731173275
262.0	-8.86143092325	5.825358425
264.0	-8.861474533125	5.9196229625
266.0	-8.86151904	6.0139489875
268.0	-8.861564451249999	6.108318975
270.0	-8.861610774125	6.20271575
272.0	-8.861658016	6.2971225125
274.0	-8.86170618375	6.3915228375
276.0	-8.86175528475	6.485900675
278.0	-8.861805325625	6.5802403375
280.0	-8.86185631325	6.6745265
282.0	-8.861908254374999	6.7687442375
284.0	-8.861961155625	6.8628789625
286.0	-8.8620150235	6.956916475
288.0	-8.862069864375	7.0508429125
290.0	-8.862125684499999	7.1446448125
292.0	-8.862182489999999	7.23830905
294.0	-8.862240287125	7.3318228625
296.0	-8.862299081749999	7.4251738375
298.0	-8.86235887975	7.518349925
300.0	-8.862419687	7.6113394125
302.0	-8.862481509	7.70413095
304.0	-8.862544351499999	7.7967134875
306.0	-8.86260821975	7.88907635
308.0	-8.862673119375	7.9812091875
310.0	-8.862739055375	8.073101975
312.0	-8.862806033124999	8.1647449875
314.0	-8.862874057625	8.25612885
316.0	-8.862943133875	8.3472444875
318.0	-8.863013266749999	8.438083125
320.0	-8.863084460875	8.528636325
322.0	-8.86315672125	8.6188959
324.0	-8.863230052125	8.7088539875
326.0	-8.86330445825	8.7985030125
328.0	-8.863379944	8.887835675
330.0	-8.8634565135	8.97684495
332.0	-8.863534171125	9.0655240875
334.0	-8.863612921	9.153866625
336.0	-8.863692767124999	9.241866325
338.0	-8.863773713499999	9.3295172375
340.0	-8.863855764	9.41681365
342.0	-8.86393892225	9.5037501
344.0	-8.864023192125	9.590321375
346.0	-8.864108577	9.676522475
348.0	-8.864195080624999	9.76234865
350.0	-8.864282706374999	9.847795375
352.0	-8.864371457625	9.9328583375
354.0	-8.8644613375	10.01753345
356.0	-8.864552349375	10.1018168125
358.0	-8.86464449625	10.1857047625
360.0	-8.864737781125	10.2691938125
362.0	-8.864832207125	10.3522806875
364.0	-8.864927777	10.434962275
366.0	-8.8650244935	10.5172357
368.0	-8.865122359499999	10.5990982
370.0	-8.8652213775	10.6805472625
372.0	-8.865321550125	10.761580475
374.0	-8.865422879999999	10.84219565
376.0	-8.865525369375	10.922390725
378.0	-8.86562902075	11.002163825
380.0	-8.865733836375	11.0815131875
382.0	-8.865839818375	11.16043725
384.0	-8.865946969125	11.2389345625
386.0	-8.8660552905	11.317003825
388.0	-8.866164784625	11.3946438625
390.0	-8.8662754535	11.4718536625
392.0	-8.866387299	11.5486323125
394.0	-8.866500322875	11.62497905
396.0	-8.866614526874999	11.7008932
398.0	-8.866729912875	11.77637425
400.0	-8.866846482375	11.8514217625
402.0	-8.866964237125	11.926035425
404.0	-8.867083178375	12.00021505
406.0	-8.867203307875	12.073960525
408.0	-8.867324626875	12.1472718625
410.0	-8.867447136874999	12.22014915
412.0	-8.867570838999999	12.2925925875
414.0	-8.8676957345	12.36460245
416.0	-8.86782182475	12.436179125
418.0	-8.867949110749999	12.5073230625
420.0	-8.868077593625	12.5780348
422.0	-8.868207274375	12.6483149625
424.0	-8.868338154	12.7181642375
426.0	-8.8684702335	12.7875834
428.0	-8.86860351375	12.8565732875
430.0	-8.8687379955	12.9251348125
432.0	-8.8688736795	12.99326895
434.0	-8.869010566624999	13.0609767375
436.0	-8.869148657624999	13.128259275
438.0	-8.869287952875	13.195117725
440.0	-8.869428453249999	13.2615533
442.0	-8.86957015925	13.3275672625
444.0	-8.869713071375	13.39316095
446.0	-8.86985719	13.4583357375
448.0	-8.870002515625	13.523093025
450.0	-8.87014904875	13.5874343
452.0	-8.870296789625	13.651361075
454.0	-8.870445738625	13.7148748875
456.0	-8.870595895874999	13.7779773375
458.0	-8.870747261875	13.8406700625
460.0	-8.8708998365	13.902954725
462.0	-8.871053620125	13.9648330375
464.0	-8.871208612875	14.0263067375
466.0	-8.871364814749999	14.0873776
468.0	-8.871522225875	14.148047425
470.0	-8.871680846124999	14.2083180375
472.0	-8.871840675625	14.2681912875
474.0	-8.872001714375	14.3276690875
476.0	-8.872163962124999	14.3867533125
478.0	-8.872327418874999	14.4454459125
480.0	-8.8724920845	14.50374885
482.0	-8.872657958749999	14.561664075
484.0	-8.872825041375	14.6191936
486.0	-8.87299333225	14.6763394375
488.0	-8.873162831	14.7331036125
490.0	-8.873333537375	14.789488175
492.0	-8.873505451125	14.8454951875
494.0	-8.87367857175	14.901126725
496.0	-8.873852899	14.9563848625
498.0	-8.874028432374999	15.011271725
500.0	-8.874205171375	15.0657894
502.0	-8.87438311575	15.119940025
504.0	-8.874562264875	15.173725725
506.0	-8.874742618374999	15.2271486375
508.0	-8.874924175499999	15.280210925
510.0	-8.875106935749999	15.3329147125
512.0	-8.875290898625	15.385262175
514.0	-8.875476063499999	15.4372554875
516.0	-8.875662429624999	15.4888968
518.0	-8.8758499965	15.5401883
520.0	-8.876038763375	15.59113215
522.0	-8.876228729625	15.6417305375
