temperature	helm_energy	Cv
0.0	-8.6851477055	0.0
2.0	-8.6851477055	0.0
4.0	-8.685147705625	3.9875e-06
6.0	-8.685147705625	2.6e-05
8.0	-8.685147705875	6.87375e-05
10.0	-8.685147706375	0.0001367625
12.0	-8.6851477075	0.0002373625
14.0	-8.6851477095	0.000377675
16.0	-8.685147712500001	0.00056465
18.0	-8.685147716875	0.0008052375
20.0	-8.685147723125	0.0011065
22.0	-8.6851477315	0.0014755625
24.0	-8.685147742625	0.001919725
26.0	-8.685147757000001	0.0024464
28.0	-8.685147775	0.0030631875
30.0	-8.6851477975	0.0037778875
32.0	-8.685147825000001	0.0045985
34.0	-8.685147858250001	0.0055332875
36.0	-8.685147898	0.0065908125
38.0	-8.685147945125001	0.0077799625
40.0	-8.685148000375001	0.0091099875
42.0	-8.685148064875001	0.0105906125
44.0	-8.685148139375	0.012232025
46.0	-8.685148225	0.01404505
48.0	-8.68514832275	0.0160411625
50.0	-8.685148434	0.0182325875
52.0	-8.685148559875001	0.020632375
54.0	-8.685148701500001	0.0232544875
56.0	-8.685148860375001	0.0261138875
58.0	-8.685149038	0.0292264875
60.0	-8.68514923575	0.0326092875
62.0	-8.68514945525	0.0362803125
64.0	-8.685149698125	0.0402586125
66.0	-8.68514996625	0.0445641875
68.0	-8.685150261250001	0.049218
70.0	-8.685150585375	0.0542418
72.0	-8.685150940375001	0.0596580625
74.0	-8.685151328625	0.0654898875
76.0	-8.68515175225	0.0717608
78.0	-8.685152213625	0.078494675
80.0	-8.68515271525	0.08571555
82.0	-8.68515325975	0.093447475
84.0	-8.685153849875	0.1017143875
86.0	-8.685154488375002	0.110539925
88.0	-8.685155178375	0.1199472875
90.0	-8.685155922875001	0.12995915
92.0	-8.685156725250001	0.1405974625
94.0	-8.685157588625001	0.1518833875
96.0	-8.68515851675	0.1638371875
98.0	-8.685159513125	0.1764781
100.0	-8.685160581500002	0.1898243
102.0	-8.685161725750001	0.203892825
104.0	-8.685162950125001	0.2186995125
106.0	-8.6851642585	0.23425895
108.0	-8.685165655375	0.250584475
110.0	-8.685167145000001	0.267688175
112.0	-8.685168732000001	0.2855807875
114.0	-8.685170421	0.30427185
116.0	-8.68517221675	0.3237696
118.0	-8.68517412425	0.3440810125
120.0	-8.685176148375001	0.3652119125
122.0	-8.685178294125	0.387166925
124.0	-8.685180566875001	0.4099495125
126.0	-8.685182972000002	0.4335621125
128.0	-8.685185514625001	0.4580060875
130.0	-8.685188200375	0.4832818375
132.0	-8.685191035	0.509388825
134.0	-8.685194023875	0.53632565
136.0	-8.685197172750001	0.5640901125
138.0	-8.68520048775	0.592679225
140.0	-8.685203974375002	0.6220893125
142.0	-8.685207638875001	0.652316075
144.0	-8.685211487	0.6833545875
146.0	-8.685215525125	0.715199425
148.0	-8.685219759	0.7478446375
150.0	-8.685224195125	0.7812838625
152.0	-8.685228839625001	0.815510325
154.0	-8.685233698625002	0.8505169125
156.0	-8.685238778625001	0.8862961875
158.0	-8.685244085875	0.9228404875
160.0	-8.68524962675	0.9601418375
162.0	-8.685255407625	0.9981921375
164.0	-8.685261435000001	1.0369830625
166.0	-8.685267715250001	1.0765061625
168.0	-8.685274255000001	1.116752875
170.0	-8.685281060500001	1.1577145125
172.0	-8.6852881385	1.1993823375
174.0	-8.6852954955	1.24174755
176.0	-8.685303137875001	1.2848012875
178.0	-8.68531107225	1.3285347
180.0	-8.685319305125	1.3729388625
182.0	-8.685327843125	1.418004875
184.0	-8.685336692875001	1.4637238625
186.0	-8.685345860750001	1.5100869125
188.0	-8.685355353375002	1.5570851625
190.0	-8.68536517725	1.60470975
192.0	-8.685375339	1.6529518375
194.0	-8.685385845125001	1.701802625
196.0	-8.685396702125	1.751253325
198.0	-8.6854079165	1.8012952
200.0	-8.68541949475	1.8519195125
202.0	-8.6854314435	1.9031175875
204.0	-8.685443769	1.9548807375
206.0	-8.685456477875	2.00720035
208.0	-8.685469576500001	2.060067775
210.0	-8.685483071250001	2.1134744625
212.0	-8.6854969685	2.1674118125
