temperature	helm_energy	Cv
0.0	-8.871602941499999	0.0
2.0	-8.871602941499999	0.0
4.0	-8.871602941499999	7.4125e-06
6.0	-8.871602941625	4.02125e-05
8.0	-8.871602941875	0.0001025875
10.0	-8.87160294275	0.0002028875
12.0	-8.8716029445	0.0003516375
14.0	-8.871602947374999	0.0005591625
16.0	-8.871602951875	0.0008357125
18.0	-8.871602958375	0.0011915
20.0	-8.871602967625	0.0016368875
22.0	-8.871602980125	0.0021823625
24.0	-8.871602996624999	0.0028385875
26.0	-8.871603017875	0.0036164375
28.0	-8.871603044625	0.0045270375
30.0	-8.871603077875	0.0055817875
32.0	-8.871603118625	0.0067924125
34.0	-8.87160316775	0.008171
36.0	-8.871603226625	0.0097301
38.0	-8.871603296249999	0.0114827
40.0	-8.871603378	0.013442425
42.0	-8.87160347325	0.0156235375
44.0	-8.87160358325	0.0180411
46.0	-8.87160370975	0.0207110375
48.0	-8.871603854249999	0.023650275
50.0	-8.8716040185	0.026876875
52.0	-8.871604204125	0.03041005
54.0	-8.87160441325	0.034270325
56.0	-8.871604647749999	0.038479525
58.0	-8.871604909875	0.0430608375
60.0	-8.8716052015	0.0480388
62.0	-8.871605525249999	0.05343925
64.0	-8.8716058835	0.05928925
66.0	-8.871606278875	0.065617
68.0	-8.871606713875	0.0724517
70.0	-8.871607191625	0.0798233875
72.0	-8.871607715	0.0877627875
74.0	-8.871608287125	0.0963011125
76.0	-8.87160891125	0.1054699
78.0	-8.871609591	0.115300775
80.0	-8.871610329874999	0.1258252875
82.0	-8.871611131625	0.1370746875
84.0	-8.87161200025	0.149079825
86.0	-8.871612939875	0.161870875
88.0	-8.871613954875	0.17547725
90.0	-8.871615049625	0.1899274625
92.0	-8.87161622875	0.205248975
94.0	-8.87161749725	0.2214680625
96.0	-8.871618859875	0.2386098
98.0	-8.871620322	0.2566979375
100.0	-8.871621888875	0.2757548125
102.0	-8.871623566124999	0.2958014
104.0	-8.871625359374999	0.31685715
106.0	-8.8716272745	0.3389401
108.0	-8.8716293175	0.362066775
110.0	-8.871631494625	0.3862522125
112.0	-8.87163381225	0.411510025
114.0	-8.871636276875	0.4378523375
116.0	-8.871638895124999	0.4652898625
118.0	-8.87164167375	0.49383195
120.0	-8.871644619875	0.5234865375
122.0	-8.8716477405	0.5542603125
124.0	-8.871651042875	0.5861586375
126.0	-8.87165453425	0.6191856625
128.0	-8.87165822225	0.653344325
130.0	-8.8716621145	0.68863645
132.0	-8.871666218625	0.725062725
134.0	-8.871670542375	0.7626228125
136.0	-8.871675093875	0.80131535
138.0	-8.871679881124999	0.8411379875
140.0	-8.871684912	0.8820874625
142.0	-8.871690195	0.924159625
144.0	-8.871695738375	0.96734945
146.0	-8.8717015505	1.011651125
148.0	-8.87170763975	1.05705805
150.0	-8.871714014624999	1.103562875
152.0	-8.871720683875	1.15115755
154.0	-8.871727656	1.19983335
156.0	-8.871734939749999	1.2495809
158.0	-8.871742544	1.3003902
160.0	-8.8717504775	1.352250675
162.0	-8.871758749	1.4051511875
164.0	-8.871767367375	1.4590800625
166.0	-8.87177634175	1.5140251
168.0	-8.871785680875	1.5699736375
170.0	-8.871795393874999	1.62691255
172.0	-8.871805489625	1.684828275
174.0	-8.87181597725	1.7437068125
176.0	-8.871826865625	1.8035338125
178.0	-8.871838164	1.864294525
180.0	-8.87184988125	1.92597385
182.0	-8.871862026499999	1.9885563625
184.0	-8.871874608875	2.0520263375
186.0	-8.87188763725	2.11636775
188.0	-8.87190112075	2.1815643125
190.0	-8.8719150685	2.2475994875
192.0	-8.871929489374999	2.314456475
194.0	-8.871944392375	2.382118325
196.0	-8.871959786625	2.450567825
198.0	-8.871975681	2.519787625
200.0	-8.871992084375	2.5897602
202.0	-8.872009005625	2.6604679
204.0	-8.87202645375	2.7318929125
206.0	-8.872044437625	2.80401735
208.0	-8.872062965875	2.876823225
210.0	-8.872082047374999	2.9502924625
212.0	-8.872101690874999	3.024406925
214.0	-8.872121904875	3.0991484375
216.0	-8.872142698374999	3.1744988
218.0	-8.8721640795	3.250439775
220.0	-8.87218605725	3.32695315
222.0	-8.87220863975	3.4040206875
224.0	-8.872231835625	3.4816242
226.0	-8.872255653249999	3.5597455375
228.0	-8.872280100874999	3.6383666
230.0	-8.87230518675	3.7174693375
232.0	-8.87233091925	3.7970357875
234.0	-8.872357306375	3.8770480625
236.0	-8.872384356125	3.9574883875
238.0	-8.872412076749999	4.038339075
240.0	-8.872440476125	4.119582575
242.0	-8.872469562	4.20120145
244.0	-8.87249934225	4.2831784
246.0	-8.87252982475	4.3654962875
248.0	-8.872561016999999	4.4481381125
250.0	-8.87259292675	4.5310870375
252.0	-8.872625561375	4.6143264
254.0	-8.8726589285	4.6978397125
256.0	-8.8726930355	4.7816106875
258.0	-8.8727278895	4.8656231875
260.0	-8.872763497874999	4.9498613
262.0	-8.872799867874999	5.0343093375
264.0	-8.872837006374999	5.1189517625
266.0	-8.872874920374999	5.2037732875
268.0	-8.872913617	5.288758825
270.0	-8.872953103	5.3738935375
272.0	-8.872993385125	5.4591627625
274.0	-8.87303447	5.5445521125
276.0	-8.873076364374999	5.6300474125
278.0	-8.873119074625	5.7156346875
280.0	-8.87316260725	5.8013002625
282.0	-8.873206968625	5.8870306625
284.0	-8.873252165124999	5.9728126375
286.0	-8.87329820275	6.0586332125
288.0	-8.87334508775	6.144479625
290.0	-8.873392826249999	6.2303393875
292.0	-8.873441424	6.3162002375
294.0	-8.873490886999999	6.40205015
296.0	-8.873541221	6.48787735
298.0	-8.87359243175	6.573670325
300.0	-8.873644524874999	6.6594178
302.0	-8.873697505875	6.7451087
304.0	-8.873751380375	6.830732275
306.0	-8.8738061535	6.9162779375
308.0	-8.87386183075	7.0017354
310.0	-8.873918417375	7.087094575
312.0	-8.873975918374999	7.17234565
314.0	-8.874034339	7.2574790125
316.0	-8.874093684	7.342485325
318.0	-8.874153958499999	7.4273554375
320.0	-8.87421516725	7.5120804875
322.0	-8.874277315	7.5966517875
324.0	-8.8743404065	7.6810609125
326.0	-8.874404446125	7.765299675
328.0	-8.874469438624999	7.8493600625
330.0	-8.874535388375	7.933234325
332.0	-8.87460229975	8.0169149125
334.0	-8.874670176875	8.1003945
336.0	-8.87473902425	8.183665975
338.0	-8.87480884575	8.2667224375
340.0	-8.874879645624999	8.349557175
342.0	-8.87495142775	8.4321637
344.0	-8.875024196125	8.514535725
346.0	-8.875097954625	8.59666715
348.0	-8.875172706875	8.6785520875
350.0	-8.875248456625	8.7601848375
352.0	-8.8753252075	8.8415598875
354.0	-8.87540296325	8.9226719
356.0	-8.875481727124999	9.00351575
358.0	-8.8755615025	9.0840864625
360.0	-8.875642293	9.16437925
362.0	-8.87572410175	9.2443895125
364.0	-8.875806931875	9.324112825
366.0	-8.87589078675	9.4035448875
368.0	-8.87597566925	9.4826816125
370.0	-8.8760615825	9.5615190625
372.0	-8.876148529375	9.64005345
374.0	-8.876236512875	9.71828115
376.0	-8.87632553575	9.796198675
378.0	-8.876415600749999	9.8738027125
380.0	-8.8765067105	9.951090075
382.0	-8.876598867875	10.0280577375
384.0	-8.87669207525	10.1047028
386.0	-8.87678633525	10.1810225
388.0	-8.876881650125	10.257014225
390.0	-8.8769780225	10.332675475
392.0	-8.877075454625	10.4080039
394.0	-8.877173948874999	10.48299725
396.0	-8.877273507249999	10.5576534125
398.0	-8.877374132125	10.6319704125
400.0	-8.8774758255	10.7059463625
402.0	-8.877578589499999	10.7795795
404.0	-8.877682426125	10.852868175
406.0	-8.87778733725	10.92581085
408.0	-8.87789332475	10.9984061
410.0	-8.878000390625	11.0706525875
412.0	-8.878108536374999	11.142549075
414.0	-8.878217764124999	11.2140944625
416.0	-8.87832807525	11.2852876875
418.0	-8.8784394715	11.3561278375
420.0	-8.878551954499999	11.4266140375
422.0	-8.87866552575	11.49674555
424.0	-8.87878018675	11.5665217
426.0	-8.878895938874999	11.6359419
428.0	-8.8790127835	11.70500565
430.0	-8.879130722125	11.7737125125
432.0	-8.879249756	11.84206215
434.0	-8.879369886374999	11.9100542875
436.0	-8.879491114375	11.9776887375
438.0	-8.87961344125	12.0449653625
440.0	-8.87973686825	12.1118841125
442.0	-8.879861396125	12.1784449875
444.0	-8.87998702625	12.2446480625
446.0	-8.8801137595	12.3104935
448.0	-8.88024159675	12.375981475
450.0	-8.880370539	12.4411122625
452.0	-8.88050058725	12.505886175
454.0	-8.880631742	12.5703035875
456.0	-8.8807640045	12.634364925
458.0	-8.880897375125	12.6980706875
460.0	-8.881031854749999	12.7614213875
462.0	-8.881167444125	12.824417625
464.0	-8.88130414375	12.8870600125
466.0	-8.881441954375	12.949349225
468.0	-8.8815808765	13.011286
470.0	-8.88172091075	13.0728711
472.0	-8.881862057625	13.134105325
474.0	-8.8820043175	13.194989525
476.0	-8.88214769075	13.255524575
478.0	-8.882292178124999	13.3157114125
480.0	-8.882437779625	13.3755509875
482.0	-8.882584495875	13.4350443
484.0	-8.882732327	13.494192375
486.0	-8.88288127325	13.552996275
488.0	-8.883031335124999	13.6114570875
490.0	-8.883182512625	13.6695759375
492.0	-8.883334805999999	13.7273539875
494.0	-8.883488215375	13.7847923875
496.0	-8.883642741	13.841892375
498.0	-8.883798382875	13.89865515
500.0	-8.883955141125	13.955082
502.0	-8.88411301575	14.011174175
504.0	-8.884272006875	14.0669329875
506.0	-8.88443211425	14.122359775
508.0	-8.884593338124999	14.1774558625
510.0	-8.884755678374999	14.2322226125
512.0	-8.884919134875	14.286661425
514.0	-8.8850837075	14.340773675
516.0	-8.885249396125	14.3945608
518.0	-8.8854162005	14.4480242375
520.0	-8.885584120625	14.5011654125
522.0	-8.885753156249999	14.5539858125
524.0	-8.885923307125	14.6064869
526.0	-8.886094573	14.658670175
528.0	-8.886266953625	14.7105371375
530.0	-8.886440448624999	14.7620893
532.0	-8.88661505775	14.8133281875
534.0	-8.88679078075	14.8642553375
536.0	-8.886967617	14.9148723
538.0	-8.8871455665	14.9651806375
540.0	-8.8873246285	15.0151818875
542.0	-8.88750480275	15.06487765
544.0	-8.887686088875	15.1142695
546.0	-8.88786848625	15.163359
548.0	-8.8880519945	15.2121477625
550.0	-8.88823661325	15.2606373875
552.0	-8.88842234175	15.308829475
554.0	-8.888609179625	15.3567256125
556.0	-8.88879712625	15.4043274375
558.0	-8.888986181125	15.4516365625
560.0	-8.889176343625	15.4986546
562.0	-8.889367613125	15.5453831625
564.0	-8.889559989124999	15.5918238875
566.0	-8.889753470999999	15.6379784
568.0	-8.889948057875	15.683848325
570.0	-8.890143749375	15.7294352875
572.0	-8.890340544625	15.7747409375
574.0	-8.890538442999999	15.819766875
576.0	-8.89073744375	15.86451475
578.0	-8.890937546375	15.908986175
580.0	-8.891138749749999	15.9531828125
582.0	-8.8913410535	15.9971062625
584.0	-8.891544456624999	16.0407581625
586.0	-8.8917489585	16.0841401375
588.0	-8.89195455825	16.1272538
590.0	-8.892161255	16.1701008
592.0	-8.892369048125	16.2126827375
594.0	-8.892577936624999	16.2550012375
596.0	-8.892787919875	16.2970579
598.0	-8.89299899675	16.3388543625
