temperature	strain-1_cv	strain-2_cv	strain-3_cv	strain-4_cv	strain-5_cv	strain-6_cv	strain-7_cv	strain-8_cv	strain-9_cv	strain-10_cv	strain-11_cv
54.0	0.0232544875	0.024725225	0.026318575	0.028109925	0.03008255	0.0322715125	0.0346845	0.03737485	0.0403944625	0.0437021375	0.0475186625
56.0	0.0261138875	0.02776465	0.029553425	0.03156495	0.033780475	0.036239375	0.0389502125	0.0419729	0.0453656875	0.049082575	0.05337085
58.0	0.0292264875	0.031072975	0.0330743	0.0353254125	0.0378053375	0.0405581625	0.043593375	0.0469780625	0.0507773875	0.0549402125	0.0597426375
60.0	0.0326092875	0.0346681625	0.036900225	0.0394115375	0.0421787125	0.0452509625	0.0486387625	0.052417025	0.0566583875	0.0613063	0.0666680375
62.0	0.0362803125	0.038569225	0.041051325	0.0438447	0.0469234	0.0503421375	0.0541124875	0.058317825	0.0630389625	0.068213575	0.0741827125
64.0	0.0402586125	0.042796225	0.045548775	0.0486473875	0.0520633125	0.0558572375	0.060041875	0.064709825	0.069950725	0.0756962125	0.0823238
66.0	0.0445641875	0.0473702375	0.0504148375	0.05384315	0.057623475	0.0618229	0.066455375	0.0716234875	0.0774264875	0.083789625	0.091129775
68.0	0.049218	0.0523132625	0.0556726375	0.059456475	0.063629825	0.068266725	0.0733824375	0.0790903375	0.085500075	0.0925303125	0.1006402625
70.0	0.0542418	0.0576481125	0.0613462	0.0655126875	0.0701091875	0.075217175	0.08085335	0.0871427125	0.0942062125	0.10195565	0.1108957875
72.0	0.0596580625	0.063398325	0.0674602	0.0720378	0.0770890375	0.0827033625	0.0888990375	0.095813625	0.10358025	0.1121037	0.121937575
74.0	0.0654898875	0.069588025	0.0740399375	0.079058375	0.0845973875	0.0907549125	0.0975509375	0.1051365375	0.1136579875	0.1230129625	0.1338072875
76.0	0.0717608	0.076241775	0.0811110875	0.0866013875	0.0926626	0.0994017875	0.1068407625	0.1151451625	0.124475475	0.1347221375	0.1465468125
78.0	0.078494675	0.0833844375	0.0886996125	0.0946940125	0.1013132375	0.10867405	0.1168003125	0.125873275	0.1360687625	0.147269925	0.16019795
80.0	0.08571555	0.0910409875	0.096831525	0.1033634625	0.110577825	0.1186017125	0.1274612875	0.1373545	0.1484737	0.1606948125	0.174802225
82.0	0.093447475	0.0992364125	0.105532825	0.1126368375	0.1204847125	0.1292145625	0.138855075	0.1496221125	0.16172575	0.1750347875	0.190400675
84.0	0.1017143875	0.1079954625	0.1148292375	0.122540925	0.1310619	0.1405419625	0.1510126	0.1627088375	0.1758597875	0.1903272375	0.20703355
86.0	0.110539925	0.1173426125	0.1247460875	0.1331020875	0.1423368875	0.1526126875	0.16396415	0.176646725	0.1909099	0.2066086875	0.2247402
88.0	0.1199472875	0.1273018	0.1353081875	0.14434605	0.1543364625	0.1654547875	0.1777392	0.1914669375	0.2069092625	0.2239146625	0.2435588375
90.0	0.12995915	0.1378963875	0.14653965	0.1562978	0.1670866375	0.1790954125	0.1923663	0.207199675	0.2238900125	0.2422795375	0.2635264
92.0	0.1405974625	0.1491489375	0.1584637875	0.168981475	0.1806124625	0.19356075	0.2078729375	0.2238739875	0.2418830375	0.2617364	0.2846783875
94.0	0.1518833875	0.1610812125	0.1711029875	0.1824201875	0.1949379625	0.2088758625	0.22428545	0.2415177125	0.26091795	0.2823169125	0.307048725
96.0	0.1638371875	0.17371395	0.1844786	0.1966360125	0.2100860125	0.225064625	0.2416289	0.2601573625	0.2810229875	0.3040512625	0.3306696625
98.0	0.1764781	0.187066875	0.1986108875	0.211649825	0.2260782875	0.242149625	0.2599270625	0.2798181	0.3022249	0.3269680375	0.3555717125
100.0	0.1898243	0.2011585625	0.2135189375	0.2274813	0.242935175	0.2601521625	0.2792023125	0.3005236375	0.324548925	0.3510941625	0.3817835
102.0	0.203892825	0.2160063875	0.229220575	0.2441488125	0.260675725	0.27909215	0.299475625	0.3222961875	0.3480187125	0.3764548875	0.409331775
104.0	0.2186995125	0.2316265125	0.2457323625	0.2616694125	0.2793176625	0.2989881125	0.32076655	0.3451564875	0.37265635	0.4030737	0.4382413
106.0	0.23425895	0.248033825	0.2630695625	0.28005885	0.298877325	0.3198571625	0.34309315	0.3691237625	0.398482275	0.430972325	0.468534875
108.0	0.250584475	0.2652418875	0.2812461	0.2993314875	0.319369675	0.341715025	0.366472075	0.3942157125	0.425515325	0.4601707	0.500233275
110.0	0.267688175	0.283262975	0.3002745875	0.3195003625	0.3408083125	0.3645759875	0.3909185125	0.4204485125	0.4537726875	0.490686975	0.53335525
112.0	0.2855807875	0.3021080875	0.3201663125	0.34057715	0.3632054625	0.3884529875	0.4164462125	0.4478368375	0.48326995	0.5225375125	0.5679175125
114.0	0.30427185	0.3217869	0.34093125	0.362572225	0.3865720375	0.4133575875	0.4430675375	0.476393875	0.514021075	0.555736875	0.6039347375
116.0	0.3237696	0.342307825	0.3625781	0.385494675	0.4109176375	0.439300025	0.470793475	0.5061313875	0.546038475	0.590297875	0.6414196
118.0	0.3440810125	0.3636780125	0.385114325	0.409352325	0.4362505875	0.4662892375	0.4996336375	0.537059675	0.5793329625	0.62623155	0.6803827625
120.0	0.3652119125	0.38590345	0.40854615	0.4341518	0.4625780125	0.4943329375	0.529596375	0.56918765	0.613913825	0.66354725	0.720832925
122.0	0.387166925	0.4089889125	0.4328786625	0.45989855	0.4899058375	0.5234376	0.56068875	0.602522875	0.6497888625	0.7022525875	0.7627768375
124.0	0.4099495125	0.4329380625	0.4581158375	0.4865969	0.518238875	0.5536085625	0.5929166125	0.637071575	0.6869644	0.742353525	0.8062193375
126.0	0.4335621125	0.4577535	0.4842605375	0.5142501375	0.5475808375	0.584850025	0.626284625	0.6728387	0.7254453	0.783854375	0.8511633625
128.0	0.4580060875	0.4834368	0.511314675	0.5428605	0.57793445	0.6171651375	0.6607963125	0.709827925	0.76523505	0.8267578625	0.897610025
130.0	0.4832818375	0.50998855	0.5392791375	0.5724293	0.6093014125	0.650556025	0.6964541	0.7480417375	0.80633575	0.871065125	0.9455586625
132.0	0.509388825	0.5374084625	0.568153975	0.6029569125	0.6416825375	0.6850238375	0.7332593625	0.787481475	0.848748175	0.9167758	0.9950068375
134.0	0.53632565	0.5656953625	0.59793835	0.6344429	0.6750777375	0.7205688125	0.7712124625	0.828147275	0.8924718	0.963888	1.0459504125
136.0	0.5640901125	0.5948472875	0.6286306375	0.6668859875	0.7094861125	0.757190275	0.8103128	0.8700382375	0.93750485	1.012398425	1.0983836125
138.0	0.592679225	0.6248615375	0.660228475	0.7002841875	0.7449059625	0.79488675	0.850558825	0.91315235	0.9838443125	1.06230235	1.152299025
140.0	0.6220893125	0.6557347375	0.69272885	0.734634775	0.781334875	0.8336559125	0.8919480875	0.957486625	1.031486	1.113593675	1.2076877375
142.0	0.652316075	0.68746285	0.7261280625	0.7699344125	0.8187697375	0.873494725	0.9344773	1.0030370375	1.080424575	1.1662649875	1.2645392875
144.0	0.6833545875	0.720041275	0.760421875	0.80617915	0.8572067875	0.9143993875	0.9781423125	1.0497986125	1.130653575	1.220307575	1.3228418125
146.0	0.715199425	0.7534648875	0.7956054875	0.8433644375	0.8966416375	0.956365425	1.0229382	1.0977654625	1.1821654625	1.275711525	1.3825820375
148.0	0.7478446375	0.787728075	0.8316736	0.8814852625	0.93706935	0.9993877	1.06885925	1.1469307625	1.2349516375	1.3324657	1.443745375
150.0	0.7812838625	0.822824775	0.868620475	0.9205360625	0.9784844	1.0434604625	1.11589905	1.1972868625	1.2890025375	1.390557825	1.50631595
152.0	0.815510325	0.85874855	0.906439975	0.960510875	1.0208808	1.0885773375	1.164050425	1.2488252625	1.344307575	1.4499745	1.570276675
154.0	0.8505169125	0.8954926	0.9451255625	1.0014033	1.064252025	1.134731375	1.2133055625	1.3015366375	1.4008552625	1.5107012875	1.6356093125
156.0	0.8862961875	0.9330498	0.9846703625	1.0432065375	1.1085911375	1.1819151125	1.263655975	1.3554109	1.4586331875	1.5727227375	1.7022945375
158.0	0.9228404875	0.9714127625	1.0250671875	1.0859134375	1.1538907375	1.230120525	1.3150925125	1.4104372	1.517628075	1.6360224	1.7703119375
160.0	0.9601418375	1.0105738125	1.066308575	1.1295165	1.200143025	1.2793391	1.3676054625	1.46660395	1.5778258125	1.700582925	1.8396401625
162.0	0.9981921375	1.0505250875	1.108386775	1.174007925	1.2473398	1.329561825	1.4211845	1.5238989125	1.6392115	1.7663860875	1.9102569
164.0	1.0369830625	1.0912585375	1.15129385	1.2193796	1.2954725	1.380779225	1.4758187125	1.5823091125	1.7017694625	1.8334128	1.9821390125
166.0	1.0765061625	1.1327658875	1.1950216	1.2656231625	1.3445322	1.4329814125	1.5314966625	1.641821	1.7654833	1.9016432125	2.0552625125
168.0	1.116752875	1.175038775	1.2395616375	1.3127299625	1.3945096375	1.4861580125	1.5882064	1.7024203375	1.830335925	1.9710567125	2.1296026625
170.0	1.1577145125	1.218068675	1.2849054375	1.360691125	1.445395225	1.5402982875	1.6459354375	1.76409235	1.8963095875	2.041632	2.2051340375
172.0	1.1993823375	1.26184695	1.33104425	1.4094975125	1.4971790625	1.595391075	1.7046708125	1.8268216875	1.9633859	2.113347125	2.2818305625
174.0	1.24174755	1.306364875	1.3779692125	1.4591398125	1.54985095	1.651424825	1.7643991125	1.890592425	2.0315459125	2.1861795	2.359665575
176.0	1.2848012875	1.3516136375	1.4256713125	1.5096084625	1.6034004125	1.7083876375	1.8251064625	1.955388175	2.1007700875	2.260106	2.4386118625
178.0	1.3285347	1.39758435	1.4741413875	1.560893725	1.6578166625	1.7662672375	1.88677855	2.0211920375	2.1710383875	2.33510295	2.51864175
180.0	1.3729388625	1.4442680625	1.5233702	1.6129856625	1.7130887	1.825051025	1.949400675	2.08798665	2.242330275	2.4111462375	2.5997271
182.0	1.418004875	1.491655775	1.5733483375	1.66587415	1.7692052375	1.8847260625	2.01295775	2.1557542125	2.3146247875	2.4882112625	2.681839425
184.0	1.4637238625	1.5397384375	1.6240663375	1.7195489125	1.826154725	1.9452791125	2.077434275	2.22447655	2.3879005125	2.56627305	2.764949875
186.0	1.5100869125	1.5885069625	1.6755146	1.7739994625	1.8839254125	2.0066966125	2.1428144625	2.29413505	2.4621356625	2.6453062625	2.8490293125
188.0	1.5570851625	1.6379522	1.7276834375	1.8292152	1.9425053125	2.0689647375	2.209082125	2.3647107875	2.5373080875	2.7252852625	2.9340483875
190.0	1.60470975	1.688065025	1.7805630625	1.885185325	2.0018821875	2.1320693875	2.2762208125	2.436184475	2.6133953375	2.8061841125	3.019977525
192.0	1.6529518375	1.7388362125	1.834143625	1.9418989	2.0620436375	2.195996175	2.34421375	2.50853655	2.69037465	2.88797665	3.1067870125
194.0	1.701802625	1.790256575	1.88841515	1.999344875	2.1229770125	2.2607305	2.4130439125	2.58174715	2.7682230125	2.9706365125	3.1944470125
196.0	1.751253325	1.84231685	1.9433676	2.057512	2.1846695	2.3262575	2.4826939875	2.6557961375	2.8469172125	3.0541371625	3.2829276375
198.0	1.8012952	1.895007775	1.9989908625	2.1163889375	2.2471081	2.3925621	2.55314645	2.7306631875	2.9264337875	3.1384519375	3.37219895
200.0	1.8519195125	1.9483200625	2.0552747375	2.175964175	2.3102796375	2.459629025	2.624383525	2.8063277125	3.00674915	3.223554075	3.4622310125
202.0	1.9031175875	2.0022443875	2.11220895	2.2362261375	2.3741707375	2.5274428	2.696387275	2.882769	3.087839575	3.3094167375	3.55299395
204.0	1.9548807375	2.0567714375	2.1697831625	2.29716305	2.438767925	2.5959877625	2.76913955	2.9599661375	3.1696811875	3.3960131	3.64445795
206.0	2.00720035	2.111891825	2.227986925	2.3587630875	2.5040575125	2.6652481125	2.84262205	3.037898075	3.2522500875	3.4833162875	3.736593325
208.0	2.060067775	2.167596175	2.2868097625	2.421014275	2.5700257125	2.73520785	2.9168163125	3.116543675	3.3355222625	3.5712994625	3.8293704875
210.0	2.1134744625	2.2238750875	2.3462411125	2.48390455	2.6366586	2.8058508625	2.9917037625	3.1958816875	3.4194737125	3.6599358875	3.92276005
212.0	2.1674118125	2.2807191375	2.4062703375	2.5474217375	2.703942125	2.877160925	3.0672657125	3.2758908	3.504080425	3.74919885	4.0167328375
214.0	2.2218713	2.3381188375	2.4668867625	2.611553575	2.7718621	2.94912165	3.1434833875	3.35654965	3.5893183875	3.8390617875	4.11125985
216.0	2.2768443625	2.3960647375	2.528079625	2.6762877	2.8404042875	3.0217166125	3.2203379125	3.4378368375	3.6751636375	3.9294982625	4.2063123625
218.0	2.3323225125	2.4545473125	2.5898381	2.741611675	2.9095542875	3.09492925	3.2978103875	3.5197309625	3.7615923	4.0204819875	4.301861925
220.0	2.3882972375	2.51355705	2.652151325	2.8075129875	2.979297675	3.1687429375	3.37588185	3.60221065	3.8485805625	4.1119868875	4.397880375
222.0	2.44476005	2.573084375	2.7150083875	2.8739790375	3.049619925	3.2431410125	3.4545333	3.6852545375	3.9361047375	4.2039870375	4.4943398625
224.0	2.5017024625	2.6331197125	2.7783982875	2.9409971875	3.1205064375	3.31810675	3.5337457625	3.7688413125	4.0241412375	4.2964568	4.591212875
226.0	2.5591159875	2.69365345	2.8423100125	3.0085546875	3.1919425625	3.3936233875	3.6135002375	3.85294975	4.1126666625	4.389370725	4.68847225
228.0	2.616992175	2.7546759625	2.9067324875	3.0766388	3.2639136125	3.469674125	3.693777775	3.937558675	4.20165775	4.48270365	4.7860911875
230.0	2.6753225375	2.8161776125	2.9716545875	3.1452366875	3.3364048625	3.5462421875	3.774559425	4.02264705	4.291091425	4.5764306875	4.8840432625
232.0	2.7340986375	2.8781486875	3.0370651875	3.2143355125	3.409401525	3.623310775	3.855826325	4.108193925	4.3809448125	4.6705272375	4.982302475
234.0	2.793312	2.940579525	3.1029531	3.28392235	3.4828888625	3.700863125	3.93755965	4.1941784875	4.47119525	4.7649690125	5.0808431875
236.0	2.85295415	3.0034603875	3.1693070875	3.3539843	3.55685205	3.778882475	4.0197406625	4.2805800875	4.5618203	4.8597320375	5.17964025
238.0	2.91301665	3.0667815375	3.2361159125	3.4245084125	3.631276325	3.8573521125	4.102350725	4.367378225	4.652797775	4.954792675	5.2786688625
240.0	2.9734910125	3.130533225	3.3033683375	3.49548175	3.7061468875	3.9362553625	4.1853712875	4.45455255	4.7441057375	5.05012765	5.3779047375
242.0	3.034368775	3.194705675	3.37105305	3.566891325	3.7814490125	4.01557565	4.268783925	4.54208295	4.8357225125	5.145714	5.477324
244.0	3.0956414875	3.2592891125	3.4391587625	3.6387242	3.857167925	4.0952964125	4.352570325	4.62994945	4.9276267125	5.2415291625	5.576903225
246.0	3.1573006625	3.3242737375	3.5076741875	3.7109674	3.9332889625	4.1754012	4.43671235	4.7181323375	5.019797225	5.3375509625	5.6766194625
248.0	3.2193378375	3.38964975	3.5765879875	3.7836079875	4.0097974625	4.2558736625	4.5211919625	4.806612075	5.1122132375	5.43375755	5.776450225
250.0	3.2817445375	3.4554073375	3.645888875	3.856633025	4.0866788125	4.3366975125	4.605991325	4.895369375	5.204854275	5.5301275125	5.8763735125
252.0	3.3445122875	3.5215366875	3.7155655375	3.9300296375	4.1639184875	4.4178566	4.6910927375	4.9843851875	5.297700125	5.6266398125	5.9763677625
254.0	3.4076326125	3.5880279875	3.785606675	4.00378495	4.241502	4.4993348875	4.7764786875	5.0736407	5.3907309375	5.723273825	6.0764119375
256.0	3.471097025	3.654871425	3.856001025	4.077886125	4.3194149875	4.58111645	4.8621318625	5.1631173625	5.4839271625	5.8200093125	6.176485425
258.0	3.5348970875	3.7220571875	3.9267373125	4.1523204	4.3976431125	4.663185525	4.9480351375	5.2527969	5.5772696125	5.9168264625	6.27656815
