temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
24.0	-8.685147742625	-8.771506609000001	-8.836170813125	-8.881391256125001	-8.908878519125	-8.920880375374999	-8.918917246125	-8.90452331425	-8.8787826325	-8.843277348	-8.799001757875
26.0	-8.685147757000001	-8.77150662425	-8.836170829375	-8.8813912735	-8.90887853775	-8.92088039525	-8.9189172675	-8.90452333725	-8.878782657375	-8.843277375000001	-8.799001787125
28.0	-8.685147775	-8.7715066435	-8.836170849875	-8.881391295375	-8.908878561125	-8.920880420375	-8.9189172945	-8.904523366375	-8.878782688874999	-8.843277409	-8.79900182425
30.0	-8.6851477975	-8.771506667375	-8.836170875375	-8.8813913225	-8.90887859025	-8.920880451624999	-8.918917328	-8.9045234025	-8.878782727875	-8.843277451375	-8.79900187025
32.0	-8.685147825000001	-8.771506696625	-8.8361709065	-8.88139135575	-8.908878625875001	-8.92088048975	-8.918917369125	-8.90452344675	-8.87878277575	-8.843277503125	-8.7990019265
34.0	-8.685147858250001	-8.771506732	-8.836170944125	-8.881391396	-8.908878668875001	-8.920880535999999	-8.91891741875	-8.90452350025	-8.878782833625	-8.843277565625	-8.799001994500001
36.0	-8.685147898	-8.771506774375	-8.836170989125	-8.881391444125	-8.908878720375	-8.920880591249999	-8.918917478125	-8.90452356425	-8.87878290275	-8.8432776405	-8.799002075875
38.0	-8.685147945125001	-8.771506824375	-8.836171042499998	-8.881391501125	-8.908878781375	-8.920880656625	-8.9189175485	-8.90452364	-8.878782984625	-8.843277729	-8.79900217225
40.0	-8.685148000375001	-8.77150688325	-8.836171105124999	-8.881391568	-8.908878853000001	-8.920880733375	-8.918917631	-8.904523729	-8.878783080625	-8.843277833	-8.799002285250001
42.0	-8.685148064875001	-8.77150695175	-8.836171178125	-8.881391645875	-8.908878936375	-8.920880822874999	-8.918917727125	-8.9045238325	-8.878783192625	-8.843277954000001	-8.799002417
44.0	-8.685148139375	-8.771507031	-8.836171262374998	-8.881391736000001	-8.90887903275	-8.92088092625	-8.91891783825	-8.90452395225	-8.878783322	-8.843278094125	-8.799002569250002
46.0	-8.685148225	-8.771507122000001	-8.836171359375	-8.881391839625	-8.908879143625	-8.920881045125	-8.918917966	-8.904524089875	-8.87878347075	-8.843278255000001	-8.79900274425
48.0	-8.68514832275	-8.771507226125001	-8.836171470124999	-8.881391957875	-8.90887927025	-8.920881180999999	-8.918918112	-8.90452424725	-8.87878364075	-8.843278438875	-8.79900294425
50.0	-8.685148434	-8.771507344375001	-8.836171596	-8.881392092375	-8.908879414125	-8.920881335375	-8.918918277875	-8.904524426	-8.878783834	-8.843278647875001	-8.7990031715
52.0	-8.685148559875001	-8.771507478125	-8.8361717385	-8.8813922445	-8.908879576875	-8.92088151	-8.918918465625	-8.90452462825	-8.8787840525	-8.843278884375001	-8.7990034285
54.0	-8.685148701500001	-8.771507628875	-8.836171898875	-8.881392415875	-8.90887976025	-8.920881706749999	-8.918918677	-8.904524856	-8.878784298625	-8.843279150625001	-8.799003718125
56.0	-8.685148860375001	-8.771507797875001	-8.83617207875	-8.881392608	-8.908879965875	-8.920881927249999	-8.918918914	-8.904525111375	-8.87878457475	-8.84327944925	-8.799004042750001
58.0	-8.685149038	-8.771507986625	-8.836172279749999	-8.88139282275	-8.908880195750001	-8.92088217375	-8.918919178874999	-8.904525396875	-8.878784883249999	-8.843279783	-8.799004405625
60.0	-8.68514923575	-8.771508196875	-8.836172503624999	-8.88139306175	-8.9088804515	-8.92088244825	-8.918919473875	-8.904525714625	-8.87878522675	-8.843280154625	-8.79900480975
62.0	-8.68514945525	-8.77150843025	-8.836172752125	-8.881393327125	-8.9088807355	-8.920882752874999	-8.918919801374999	-8.904526067499999	-8.878785608	-8.843280567125001	-8.79900525825
64.0	-8.685149698125	-8.771508688625001	-8.836173027	-8.88139362075	-8.90888104975	-8.92088309	-8.918920163625	-8.904526457875	-8.87878603	-8.843281023625	-8.79900575475
66.0	-8.68514996625	-8.771508973625	-8.836173330374999	-8.881393944875	-8.908881396625	-8.920883462125	-8.9189205635	-8.90452688875	-8.878786495625	-8.8432815275	-8.799006302625001
68.0	-8.685150261250001	-8.771509287375	-8.836173664375	-8.881394301625	-8.908881778375001	-8.920883871625	-8.918921003625	-8.904527363125	-8.87878700825	-8.843282082125	-8.799006905750002
70.0	-8.685150585375	-8.771509631875	-8.836174031125	-8.88139469325	-8.9088821975	-8.92088432125	-8.918921487	-8.904527883875	-8.87878757125	-8.843282691125001	-8.799007568
72.0	-8.685150940375001	-8.771510009375	-8.836174433	-8.881395122375	-8.90888265675	-8.920884813999999	-8.9189220165	-8.904528454625	-8.878788188	-8.8432833585	-8.799008293750001
74.0	-8.685151328625	-8.771510422125	-8.83617487225	-8.881395591625001	-8.908883158875	-8.920885352625	-8.9189225955	-8.9045290785	-8.878788862375	-8.84328408825	-8.79900908725
76.0	-8.68515175225	-8.7715108725	-8.8361753515	-8.8813961035	-8.90888370675	-8.920885940375	-8.91892322725	-8.90452975925	-8.87878959825	-8.843284884375	-8.799009953125001
78.0	-8.685152213625	-8.771511362875	-8.836175873499998	-8.881396661	-8.908884303375	-8.920886580374999	-8.918923915125	-8.904530500625	-8.8787903995	-8.8432857515	-8.799010896125
80.0	-8.68515271525	-8.771511896125	-8.836176441125	-8.881397267125001	-8.908884952000001	-8.92088727625	-8.918924663	-8.9045313065	-8.878791270625	-8.843286694125	-8.79901192125
82.0	-8.68515325975	-8.771512475	-8.836177056999999	-8.881397924875001	-8.908885655875	-8.92088803125	-8.918925474625	-8.904532181125	-8.878792216125	-8.843287717125001	-8.799013033875001
84.0	-8.685153849875	-8.771513102125	-8.836177724499999	-8.881398637625	-8.9088864185	-8.920888849499999	-8.918926353875	-8.90453312875	-8.878793240375	-8.8432888255	-8.79901423925
86.0	-8.685154488375002	-8.77151378075	-8.836178446624999	-8.881399408750001	-8.908887243625001	-8.9208897345	-8.91892730525	-8.904534153875	-8.878794348375	-8.8432900245	-8.799015543375
88.0	-8.685155178375	-8.771514514	-8.83617922675	-8.88140024175	-8.908888135	-8.920890690624999	-8.91892833275	-8.904535261125	-8.87879554525	-8.843291319750001	-8.799016952
90.0	-8.685155922875001	-8.771515305125	-8.836180068374999	-8.881401140375	-8.908889096375	-8.920891721875	-8.918929441125	-8.9045364555	-8.87879683625	-8.843292716625001	-8.799018471375001
92.0	-8.685156725250001	-8.7715161575	-8.836180975249999	-8.8814021085	-8.908890132125	-8.920892832875	-8.918930635	-8.904537741875	-8.878798226625	-8.843294221375	-8.799020107875
94.0	-8.685157588625001	-8.771517074750001	-8.836181950999999	-8.881403150125001	-8.9088912465	-8.920894028	-8.91893191925	-8.90453912575	-8.87879972225	-8.84329583975	-8.799021868125001
96.0	-8.68515851675	-8.771518060625	-8.8361829995	-8.881404269375	-8.90889244375	-8.920895311874999	-8.918933298875	-8.904540612249999	-8.878801329	-8.843297578375001	-8.799023759125001
98.0	-8.685159513125	-8.77151911875	-8.836184124999999	-8.8814054705	-8.9088937285	-8.92089668975	-8.918934779375	-8.90454220725	-8.87880305275	-8.84329944375	-8.799025787875001
100.0	-8.685160581500002	-8.771520253375	-8.8361853315	-8.881406758125001	-8.908895105625	-8.920898166375	-8.918936365875	-8.9045439165	-8.8788049	-8.843301442625	-8.799027961875002
102.0	-8.685161725750001	-8.771521468375001	-8.836186623375	-8.88140813675	-8.90889658	-8.920899747	-8.918938064125	-8.904545746	-8.878806877	-8.843303581875	-8.799030288500001
104.0	-8.685162950125001	-8.77152276825	-8.83618800525	-8.881409611	-8.908898156500001	-8.920901437249999	-8.918939879749999	-8.90454770175	-8.878808990375	-8.84330586875	-8.799032775750002
106.0	-8.6851642585	-8.771524157	-8.8361894815	-8.881411186000001	-8.9088998405	-8.920903242375	-8.91894181875	-8.904549790375	-8.878811247249999	-8.84330831075	-8.7990354315
108.0	-8.685165655375	-8.7715256395	-8.836191057125	-8.88141286675	-8.90890163725	-8.92090516825	-8.918943887375	-8.904552018375	-8.8788136545	-8.843310915250001	-8.799038264125
110.0	-8.685167145000001	-8.77152722025	-8.836192737	-8.881414658375	-8.90890355225	-8.92090722075	-8.918946091625	-8.90455439225	-8.878816219375	-8.843313690375	-8.799041282000001
112.0	-8.685168732000001	-8.771528904	-8.836194526	-8.881416566125	-8.90890559125	-8.920909405749999	-8.918948438	-8.904556919125	-8.87881894925	-8.843316643875001	-8.799044493750001
114.0	-8.685170421	-8.771530695625	-8.836196429374999	-8.8814185955	-8.90890776	-8.9209117295	-8.91895093325	-8.904559606	-8.878821851625	-8.843319784	-8.7990479085
116.0	-8.68517221675	-8.771532600250001	-8.836198452375	-8.881420752125	-8.908910064375	-8.920914198375	-8.918953583875	-8.90456246	-8.878824934499999	-8.843323119125001	-8.799051535125
118.0	-8.68517412425	-8.77153462275	-8.836200600375	-8.88142304175	-8.9089125105	-8.92091681875	-8.918956396875	-8.9045654885	-8.878828205625	-8.843326657875	-8.799055382875
120.0	-8.685176148375001	-8.77153676875	-8.836202879	-8.881425470125	-8.9089151045	-8.920919597125	-8.91895937925	-8.904568699	-8.87883167325	-8.843330408875001	-8.799059461375
122.0	-8.685178294125	-8.77153904325	-8.83620529375	-8.881428043125	-8.908917852625	-8.920922540374999	-8.91896253825	-8.904572099375	-8.878835345375	-8.843334381125	-8.799063780125001
124.0	-8.685180566875001	-8.771541451875	-8.8362078505	-8.881430767000001	-8.908920761500001	-8.920925655125	-8.918965881	-8.90457569725	-8.878839230625	-8.843338583500001	-8.799068349
126.0	-8.685182972000002	-8.77154400025	-8.836210555	-8.881433647875001	-8.9089238375	-8.920928948624999	-8.918969415	-8.904579500625	-8.8788433375	-8.843343025500001	-8.799073177875
128.0	-8.685185514625001	-8.771546693875	-8.836213413249999	-8.881436692000001	-8.908927087375	-8.920932427624999	-8.918973148	-8.904583517625	-8.87884767475	-8.843347716250001	-8.799078277125
130.0	-8.685188200375	-8.7715495385	-8.83621643125	-8.88143990575	-8.90893051775	-8.920936099625	-8.918977087375	-8.9045877565	-8.878852251125	-8.843352665500001	-8.799083656750001
132.0	-8.685191035	-8.771552540250001	-8.83621961525	-8.881443295625001	-8.90893413575	-8.92093997175	-8.918981241	-8.9045922255	-8.8788570755	-8.843357882625	-8.799089327375
134.0	-8.685194023875	-8.77155570475	-8.836222971375	-8.88144686825	-8.908937948125	-8.9209440515	-8.918985617	-8.90459693325	-8.878862157124999	-8.84336337775	-8.799095299500001
136.0	-8.685197172750001	-8.771559038125	-8.836226506125	-8.88145063025	-8.908941962	-8.920948346374999	-8.918990223125	-8.904601888125	-8.87886750525	-8.8433691605	-8.799101584
138.0	-8.68520048775	-8.771562546375	-8.836230225625	-8.8814545885	-8.908946184625	-8.920952863875	-8.9189950675	-8.904607098875	-8.878873129	-8.843375241	-8.799108191375002
140.0	-8.685203974375002	-8.771566235875001	-8.836234136624999	-8.881458749625	-8.908950623125	-8.920957611875	-8.9190001585	-8.904612574375	-8.878879038	-8.843381629500001	-8.799115132875
142.0	-8.685207638875001	-8.771570112625	-8.836238245375	-8.881463120625	-8.908955285000001	-8.920962598	-8.919005504375	-8.904618323375	-8.87888524175	-8.843388336125	-8.799122419375001
144.0	-8.685211487	-8.771574183125	-8.836242558875	-8.881467708625001	-8.908960177375	-8.92096783025	-8.9190111135	-8.904624355	-8.87889174975	-8.84339537125	-8.799130062125
146.0	-8.685215525125	-8.771578453625	-8.8362470835	-8.881472520500001	-8.908965307875	-8.9209733165	-8.91901699425	-8.90463067825	-8.878898572	-8.843402745375	-8.799138072375001
