temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
68.0	-8.841689071125	-8.871606713875	-8.89406664975	-8.90965529	-8.9187432715	-8.921687618125	-8.91882487325	-8.910434661750001	-8.896706803999999	-8.877793756	-8.853921514375001
70.0	-8.841689555124999	-8.871607191625	-8.89406712275	-8.909655759625	-8.918743739375001	-8.921688082625	-8.918825340749999	-8.91043513075	-8.89670727575	-8.877794231875	-8.853921996375
72.0	-8.841690085375	-8.871607715	-8.89406764075	-8.909656274125	-8.918744251875001	-8.921688591750002	-8.918825853	-8.910435644375001	-8.896707792499999	-8.87779475325	-8.853922524500002
74.0	-8.841690665124998	-8.871608287125	-8.894068207	-8.909656836625	-8.918744812125	-8.921689148250001	-8.918826413	-8.910436206	-8.8967083575	-8.877795323375	-8.853923102000001
76.0	-8.841691297499999	-8.87160891125	-8.894068824875001	-8.909657450125	-8.91874542325	-8.921689755375	-8.91882702375	-8.91043681875	-8.896708973875	-8.877795945375	-8.853923732250001
78.0	-8.84169198625	-8.871609591	-8.894069497625	-8.90965811825	-8.91874608875	-8.921690416625001	-8.918827688875	-8.910437485875	-8.896709645125	-8.877796622875001	-8.853924418625
80.0	-8.841692734999999	-8.871610329874999	-8.894070228875	-8.9096588445	-8.918746812	-8.921691135500001	-8.918828411875	-8.910438211125001	-8.896710374875	-8.877797359375	-8.853925165000001
82.0	-8.841693547624999	-8.871611131625	-8.894071022375	-8.9096596325	-8.91874759675	-8.921691915625	-8.91882919625	-8.910438998	-8.89671116675	-8.87779815875	-8.853925975125001
84.0	-8.841694427999998	-8.87161200025	-8.894071882125	-8.909660486125	-8.918748446875	-8.921692760875	-8.918830046	-8.910439850625	-8.89671202475	-8.877799024875001	-8.853926853125001
86.0	-8.841695380374999	-8.871612939875	-8.894072812000001	-8.9096614095	-8.9187493665	-8.921693675250001	-8.918830965249999	-8.910440772875	-8.896712953	-8.877799962000001	-8.853927803000001
88.0	-8.841696408999999	-8.871613954875	-8.894073816375	-8.90966240675	-8.918750359625001	-8.921694663	-8.918831958	-8.910441769	-8.896713955625	-8.87780097425	-8.85392882925
90.0	-8.84169751875	-8.871615049625	-8.89407489975	-8.9096634825	-8.918751430875	-8.921695728500001	-8.918833028749999	-8.910442843375002	-8.896715037	-8.877802066375	-8.8539299365
92.0	-8.841698714	-8.87161622875	-8.894076066625	-8.909664640999999	-8.9187525845	-8.921696876125	-8.918834182	-8.910444000625	-8.896716202	-8.87780324275	-8.853931129500001
94.0	-8.841699999749999	-8.87161749725	-8.89407732175	-8.909665887125	-8.918753825375001	-8.92169811075	-8.918835422499999	-8.9104452455	-8.896717455125	-8.877804508375	-8.853932413
96.0	-8.841701381124999	-8.871618859875	-8.894078670125001	-8.909667225749999	-8.918755158375001	-8.921699437125001	-8.918836755	-8.910446582750001	-8.8967188015	-8.87780586825	-8.85393379225
98.0	-8.841702863375	-8.871620322	-8.89408011675	-8.909668662125	-8.9187565885	-8.921700860375001	-8.91883818475	-8.910448017625	-8.89672024625	-8.877807327625	-8.853935272625002
100.0	-8.841704452	-8.871621888875	-8.894081667125	-8.90967020125	-8.918758121	-8.921702385625	-8.91883971675	-8.910449555375001	-8.8967217945	-8.87780889175	-8.853936859375
102.0	-8.841706152375	-8.871623566124999	-8.8940833265	-8.909671848624999	-8.918759761375	-8.921704018375001	-8.918841356625	-8.91045120125	-8.896723451875	-8.87781056625	-8.85393855825
104.0	-8.8417079705	-8.871625359374999	-8.89408510075	-8.909673609875	-8.918761515	-8.921705764125	-8.91884310975	-8.910452961	-8.896725223999999	-8.87781235675	-8.853940375
106.0	-8.84170991225	-8.8716272745	-8.8940869955	-8.909675490875	-8.918763387625	-8.921707628625	-8.918844982	-8.910454840375001	-8.89672711675	-8.87781426925	-8.85394231575
108.0	-8.841711983749999	-8.8716293175	-8.89408901675	-8.90967749725	-8.918765385250001	-8.921709617625	-8.918846979125	-8.910456845250001	-8.896729135874999	-8.877816309875001	-8.8539443865
110.0	-8.841714191374999	-8.871631494625	-8.894091170625	-8.909679635375	-8.918767514	-8.921711737375	-8.918849107249999	-8.910458981625	-8.896731287749999	-8.8778184845	-8.85394659375
112.0	-8.841716541375	-8.87163381225	-8.894093463375	-8.909681911249999	-8.91876977975	-8.921713993875	-8.918851372625	-8.910461255875001	-8.896733578625	-8.877820799875	-8.853948943875
