temperature	helm_energy	Cv
0.0	-8.9189171905	0.0
2.0	-8.9189171905	0.0
4.0	-8.9189171905	7.2125e-06
6.0	-8.918917190625	4.01125e-05
8.0	-8.918917191	0.0001031375
10.0	-8.918917191875	0.000204425
12.0	-8.918917193625	0.0003544875
14.0	-8.9189171965	0.0005638125
16.0	-8.918917201	0.000842775
18.0	-8.918917207625	0.0012017625
20.0	-8.918917216875	0.00165125
22.0	-8.9189172295	0.0022018875
24.0	-8.918917246125	0.0028645
26.0	-8.9189172675	0.00365015
28.0	-8.9189172945	0.00457015
30.0	-8.918917328	0.0056360875
32.0	-8.918917369125	0.0068599125
34.0	-8.91891741875	0.00825395
36.0	-8.918917478125	0.0098309375
38.0	-8.9189175485	0.01160415
40.0	-8.918917631	0.0135874375
42.0	-8.918917727125	0.0157953125
44.0	-8.91891783825	0.0182430875
46.0	-8.918917966	0.0209469625
48.0	-8.918918112	0.0239241375
50.0	-8.918918277875	0.0271929
52.0	-8.918918465625	0.0307727625
54.0	-8.918918677	0.0346845
56.0	-8.918918914	0.0389502125
58.0	-8.918919178874999	0.043593375
60.0	-8.918919473875	0.0486387625
62.0	-8.918919801374999	0.0541124875
64.0	-8.918920163625	0.060041875
66.0	-8.9189205635	0.066455375
68.0	-8.918921003625	0.0733824375
70.0	-8.918921487	0.08085335
72.0	-8.9189220165	0.0888990375
74.0	-8.9189225955	0.0975509375
76.0	-8.91892322725	0.1068407625
78.0	-8.918923915125	0.1168003125
80.0	-8.918924663	0.1274612875
82.0	-8.918925474625	0.138855075
84.0	-8.918926353875	0.1510126
86.0	-8.91892730525	0.16396415
88.0	-8.91892833275	0.1777392
90.0	-8.918929441125	0.1923663
92.0	-8.918930635	0.2078729375
94.0	-8.91893191925	0.22428545
96.0	-8.918933298875	0.2416289
98.0	-8.918934779375	0.2599270625
100.0	-8.918936365875	0.2792023125
102.0	-8.918938064125	0.299475625
104.0	-8.918939879749999	0.32076655
106.0	-8.91894181875	0.34309315
108.0	-8.918943887375	0.366472075
110.0	-8.918946091625	0.3909185125
112.0	-8.918948438	0.4164462125
114.0	-8.91895093325	0.4430675375
116.0	-8.918953583875	0.470793475
118.0	-8.918956396875	0.4996336375
120.0	-8.91895937925	0.529596375
122.0	-8.91896253825	0.56068875
124.0	-8.918965881	0.5929166125
126.0	-8.918969415	0.626284625
128.0	-8.918973148	0.6607963125
130.0	-8.918977087375	0.6964541
132.0	-8.918981241	0.7332593625
134.0	-8.918985617	0.7712124625
136.0	-8.918990223125	0.8103128
138.0	-8.9189950675	0.850558825
140.0	-8.9190001585	0.8919480875
142.0	-8.919005504375	0.9344773
144.0	-8.9190111135	0.9781423125
146.0	-8.91901699425	1.0229382
148.0	-8.919023155375	1.06885925
150.0	-8.919029605375	1.11589905
152.0	-8.919036352875	1.164050425
154.0	-8.91904340675	1.2133055625
156.0	-8.91905077575	1.263655975
158.0	-8.91905846875	1.3150925125
160.0	-8.91906649475	1.3676054625
162.0	-8.919074862625	1.4211845
164.0	-8.9190835815	1.4758187125
166.0	-8.91909266025	1.5314966625
168.0	-8.919102108	1.5882064
170.0	-8.919111934	1.6459354375
172.0	-8.919122147125	1.7046708125
174.0	-8.919132756875	1.7643991125
176.0	-8.919143772125	1.8251064625
178.0	-8.919155202125	1.88677855
180.0	-8.91916705625	1.949400675
182.0	-8.9191793435	2.01295775
184.0	-8.919192073125	2.077434275
186.0	-8.9192052545	2.1428144625
188.0	-8.9192188965	2.209082125
190.0	-8.919233008625	2.2762208125
192.0	-8.9192476	2.34421375
194.0	-8.91926267975	2.4130439125
196.0	-8.919278256875	2.4826939875
198.0	-8.919294340875	2.55314645
200.0	-8.919310940499999	2.624383525
202.0	-8.919328065125	2.696387275
204.0	-8.919345723625	2.76913955
206.0	-8.919363925	2.84262205
208.0	-8.9193826785	2.9168163125
210.0	-8.919401992875	2.9917037625
212.0	-8.919421877	3.0672657125
214.0	-8.91944234	3.1434833875
216.0	-8.919463390375	3.2203379125
218.0	-8.91948503725	3.2978103875
220.0	-8.91950728925	3.37588185
222.0	-8.919530154875	3.4545333
224.0	-8.919553643124999	3.5337457625
226.0	-8.91957776225	3.6135002375
228.0	-8.919602521	3.693777775
230.0	-8.91962792775	3.774559425
232.0	-8.919653991	3.855826325
234.0	-8.919680719	3.93755965
236.0	-8.919708120125	4.0197406625
238.0	-8.9197362025	4.102350725
240.0	-8.91976497425	4.1853712875
242.0	-8.91979444375	4.268783925
244.0	-8.919824618749999	4.352570325
246.0	-8.91985550725	4.43671235
248.0	-8.919887117125	4.5211919625
250.0	-8.91991945625	4.605991325
252.0	-8.919952532375	4.6910927375
254.0	-8.919986353125	4.7764786875
256.0	-8.920020926	4.8621318625
258.0	-8.920056258625	4.9480351375
260.0	-8.920092358375	5.0341715625
262.0	-8.920129232499999	5.1205244375
264.0	-8.9201668885	5.2070772375
266.0	-8.920205333375	5.2938137
268.0	-8.920244574375	5.3807177625
270.0	-8.9202846185	5.4677735875
272.0	-8.9203254725	5.5549656125
274.0	-8.9203671435	5.642278475
276.0	-8.92040963825	5.729697075
278.0	-8.92045296325	5.817206575
280.0	-8.92049712525	5.904792375
282.0	-8.920542130874999	5.9924401375
284.0	-8.9205879865	6.080135775
286.0	-8.920634698375	6.1678654625
288.0	-8.920682273	6.2556156375
290.0	-8.920730716375	6.343373
292.0	-8.920780034625	6.431124525
294.0	-8.920830234	6.51885745
296.0	-8.920881320125	6.60655925
298.0	-8.920933299125	6.6942177125
300.0	-8.920986176625	6.7818208375
302.0	-8.921039958375	6.86935695
304.0	-8.92109465	6.9568146
306.0	-8.921150257	7.0441826
308.0	-8.92120678475	7.13145005
310.0	-8.921264238625	7.2186063
312.0	-8.921322624	7.30564095
314.0	-8.921381946	7.3925438875
316.0	-8.921442209624999	7.479305225
318.0	-8.921503420125	7.5659153375
320.0	-8.92156558225	7.6523648875
322.0	-8.921628700874999	7.7386447375
324.0	-8.92169278075	7.8247460375
326.0	-8.92175782675	7.9106601625
328.0	-8.921823843375	7.99637875
330.0	-8.921890835125	8.08189365
332.0	-8.9219588065	8.1671969875
334.0	-8.922027761875	8.252281075
336.0	-8.9220977055	8.3371385125
338.0	-8.922168641625	8.4217620875
340.0	-8.9222405745	8.5061448375
342.0	-8.922313508	8.59028
344.0	-8.92238744625	8.67416105
