temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
0.0	-8.723480208125	-8.801245468000001	-8.85778475275	-8.895424340749999	-8.916198394624999	-8.921683952625001	-8.91368928175	-8.893643786625	-8.86290796025	-8.82250685275	-8.773669187249999
2.0	-8.723480208125	-8.801245468000001	-8.85778475275	-8.895424340749999	-8.916198394624999	-8.921683952625001	-8.91368928175	-8.893643786625	-8.86290796025	-8.82250685275	-8.773669187249999
4.0	-8.723480208125	-8.801245468000001	-8.857784752875	-8.895424340749999	-8.916198394624999	-8.921683952625001	-8.91368928175	-8.893643786625	-8.86290796025	-8.822506852875	-8.773669187249999
6.0	-8.723480208249999	-8.801245468000001	-8.857784752875	-8.895424340749999	-8.91619839475	-8.921683952750001	-8.913689281875001	-8.893643786625	-8.862907960375	-8.822506853	-8.773669187374999
8.0	-8.7234802085	-8.80124546825	-8.857784753125	-8.895424341125	-8.916198395	-8.921683953125001	-8.913689282250001	-8.893643787125	-8.86290796075	-8.822506853375	-8.773669187874999
10.0	-8.723480209	-8.801245468875	-8.857784753875	-8.89542434175	-8.91619839575	-8.921683954	-8.913689283125	-8.893643788124999	-8.862907961875	-8.822506854625	-8.773669189125
12.0	-8.723480210249999	-8.801245470125	-8.857784755125	-8.89542434325	-8.916198397375	-8.921683955625001	-8.913689284875002	-8.89364379	-8.862907964000001	-8.822506856875	-8.773669191625
14.0	-8.723480212124999	-8.80124547225	-8.857784757375	-8.895424345624999	-8.916198399875	-8.921683958375	-8.913689287875	-8.89364379325	-8.862907967500002	-8.822506860625	-8.773669195875
16.0	-8.72348021525	-8.8012454755	-8.857784760874999	-8.895424349375	-8.916198403875	-8.92168396275	-8.913689292625001	-8.89364379825	-8.862907972875	-8.822506866625	-8.77366920225
18.0	-8.72348021975	-8.801245480375	-8.857784766	-8.895424354874999	-8.916198409875	-8.921683969	-8.913689299375001	-8.893643805625	-8.862907980875	-8.822506875375	-8.773669211749999
20.0	-8.723480226125	-8.801245487125001	-8.85778477325	-8.895424362625	-8.916198418125	-8.921683978	-8.913689309	-8.893643816125	-8.862907992125	-8.822506887625	-8.773669225125
22.0	-8.72348023475	-8.801245496375001	-8.857784783125	-8.895424373125	-8.916198429375	-8.921683990125	-8.913689322125	-8.893643830125	-8.862908007500002	-8.822506904125	-8.77366924325
24.0	-8.723480246125	-8.801245508500001	-8.857784796	-8.895424387	-8.91619844425	-8.921684006000001	-8.913689339375	-8.89364384875	-8.862908027500001	-8.822506926	-8.773669266999999
26.0	-8.723480260875	-8.801245524125001	-8.85778481275	-8.895424404875	-8.916198463375	-8.921684026625	-8.913689361500001	-8.893643872625	-8.862908053375001	-8.822506954125	-8.773669297625
28.0	-8.723480279375	-8.801245543875002	-8.85778483375	-8.895424427375	-8.916198487625	-8.921684052625	-8.9136893895	-8.893643902875	-8.862908086125001	-8.822506989625	-8.773669336374999
30.0	-8.723480302499999	-8.801245568375	-8.85778486	-8.895424455375	-8.916198517625	-8.921684084875	-8.913689424125002	-8.893643940375	-8.862908126625001	-8.82250703375	-8.773669384375
32.0	-8.723480330625	-8.801245598500001	-8.857784892	-8.895424489749999	-8.916198554375	-8.921684124375	-8.91368946675	-8.89364398625	-8.862908176375	-8.822507087625	-8.773669443125
34.0	-8.72348036475	-8.801245634750002	-8.85778493075	-8.895424531125	-8.91619859875	-8.921684172	-8.913689518125	-8.89364404175	-8.862908236375	-8.822507152875	-8.773669514125
36.0	-8.7234804055	-8.801245678250002	-8.857784977	-8.89542458075	-8.916198651875	-8.921684229125	-8.913689579625	-8.893644108125	-8.862908308125	-8.822507230875	-8.773669599125
38.0	-8.72348045375	-8.801245729625	-8.857785031875	-8.895424639375	-8.916198714875	-8.921684296750001	-8.913689652375	-8.89364418675	-8.862908393125	-8.82250732325	-8.77366969975
40.0	-8.7234805105	-8.801245790000001	-8.85778509625	-8.89542470825	-8.91619878875	-8.921684376	-8.913689737875	-8.893644279	-8.862908493	-8.822507431625	-8.77366981775
42.0	-8.7234805765	-8.801245860375001	-8.857785171125	-8.8954247885	-8.91619887475	-8.921684468375	-8.913689837375001	-8.8936443865	-8.862908609125	-8.822507557875	-8.77366995525
44.0	-8.723480652874999	-8.801245941625	-8.857785257875	-8.895424881375	-8.91619897425	-8.921684575250001	-8.9136899525	-8.89364451075	-8.8629087435	-8.82250770375	-8.773670114249999
46.0	-8.723480740749999	-8.801246035125	-8.857785357625	-8.895424988	-8.916199088499999	-8.921684698125	-8.913690084750002	-8.893644653499999	-8.862908898	-8.822507871625	-8.773670296999999
48.0	-8.723480840999999	-8.801246142	-8.8577854715	-8.895425109875	-8.916199219125	-8.921684838375	-8.913690235875	-8.89364481675	-8.862909074500001	-8.82250806325	-8.77367050575
50.0	-8.723480955	-8.801246263375	-8.857785600875	-8.895425248375	-8.916199367625	-8.921684997875001	-8.913690407625001	-8.893645002125	-8.862909275125	-8.822508281125	-8.773670743
52.0	-8.723481084	-8.801246400750001	-8.857785747375	-8.895425405125	-8.916199535625	-8.921685178375	-8.913690602	-8.893645212	-8.862909502	-8.822508527625	-8.7736710115
54.0	-8.72348122925	-8.801246555375	-8.85778591225	-8.8954255815	-8.91619972475	-8.921685381500001	-8.913690820875	-8.89364544825	-8.8629097575	-8.822508805125	-8.773671313749999
56.0	-8.72348139225	-8.801246728875	-8.857786097125	-8.8954257795	-8.916199937	-8.921685609375	-8.913691066375002	-8.89364571325	-8.862910044125002	-8.822509116500001	-8.77367165275
58.0	-8.72348157425	-8.801246922750002	-8.857786303875	-8.895426000625	-8.916200174	-8.921685864	-8.913691340625	-8.893646009375	-8.862910364375	-8.822509464375	-8.773672031624999
60.0	-8.723481777	-8.801247138625001	-8.857786534	-8.895426246875	-8.916200438	-8.921686147625001	-8.913691646	-8.893646339125	-8.862910721125001	-8.82250985175	-8.7736724535
62.0	-8.723482001999999	-8.801247378125002	-8.857786789375	-8.895426520125	-8.916200731	-8.921686462375	-8.913691985125	-8.893646705125	-8.862911117000001	-8.82251028175	-8.773672921874999
64.0	-8.723482251	-8.80124764325	-8.857787072	-8.895426822625	-8.91620105525	-8.921686810625001	-8.913692360250002	-8.893647110125	-8.862911555125	-8.82251075775	-8.773673440125
66.0	-8.723482525749999	-8.801247935875	-8.857787383875	-8.895427156375	-8.916201413	-8.921687195	-8.91369277425	-8.893647557125	-8.862912038625002	-8.822511283	-8.77367401225
68.0	-8.723482828249999	-8.801248258000001	-8.85778772725	-8.895427523875	-8.916201806875	-8.921687618125	-8.913693230125	-8.89364804925	-8.862912570875	-8.822511861125	-8.773674642
70.0	-8.723483160499999	-8.801248611625	-8.85778810425	-8.89542792725	-8.916202239375	-8.921688082625	-8.913693730625	-8.893648589625	-8.862913155500001	-8.822512496125	-8.773675333624999
