temp,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
20.0,1053.1282266666667,134.1681593333333,134.1681593333333,0.0,0.0,0.0,134.1681593333333,1053.1282266666667,134.1681593333333,0.0,0.0,0.0,134.1681593333333,134.1681593333333,1053.1282266666667,0.0,0.0,0.0,0.0,0.0,0.0,567.7487986666666,0.0,0.0,0.0,0.0,0.0,0.0,567.7487986666666,0.0,0.0,0.0,0.0,0.0,0.0,567.7487986666666
22.0,1053.0324493333333,134.15667526666664,134.15667526666664,0.0,0.0,0.0,134.15667526666664,1053.0324493333333,134.15667526666664,0.0,0.0,0.0,134.15667526666664,134.15667526666664,1053.0324493333333,0.0,0.0,0.0,0.0,0.0,0.0,567.6884785333333,0.0,0.0,0.0,0.0,0.0,0.0,567.6884785333333,0.0,0.0,0.0,0.0,0.0,0.0,567.6884785333333
24.0,1052.936672,134.14519119999997,134.14519119999997,0.0,0.0,0.0,134.14519119999997,1052.936672,134.14519119999997,0.0,0.0,0.0,134.14519119999997,134.14519119999997,1052.936672,0.0,0.0,0.0,0.0,0.0,0.0,567.6281584,0.0,0.0,0.0,0.0,0.0,0.0,567.6281584,0.0,0.0,0.0,0.0,0.0,0.0,567.6281584
26.0,1052.8408946666666,134.1337071333333,134.1337071333333,0.0,0.0,0.0,134.1337071333333,1052.8408946666666,134.1337071333333,0.0,0.0,0.0,134.1337071333333,134.1337071333333,1052.8408946666666,0.0,0.0,0.0,0.0,0.0,0.0,567.5678382666666,0.0,0.0,0.0,0.0,0.0,0.0,567.5678382666666,0.0,0.0,0.0,0.0,0.0,0.0,567.5678382666666
28.0,1052.7451173333334,134.12222306666663,134.12222306666663,0.0,0.0,0.0,134.12222306666663,1052.7451173333334,134.12222306666663,0.0,0.0,0.0,134.12222306666663,134.12222306666663,1052.7451173333334,0.0,0.0,0.0,0.0,0.0,0.0,567.5075181333333,0.0,0.0,0.0,0.0,0.0,0.0,567.5075181333333,0.0,0.0,0.0,0.0,0.0,0.0,567.5075181333333
30.0,1052.64934,134.110739,134.110739,0.0,0.0,0.0,134.110739,1052.64934,134.110739,0.0,0.0,0.0,134.110739,134.110739,1052.64934,0.0,0.0,0.0,0.0,0.0,0.0,567.447198,0.0,0.0,0.0,0.0,0.0,0.0,567.447198,0.0,0.0,0.0,0.0,0.0,0.0,567.447198
32.0,1052.5535626666667,134.09925493333333,134.09925493333333,0.0,0.0,0.0,134.09925493333333,1052.5535626666667,134.09925493333333,0.0,0.0,0.0,134.09925493333333,134.09925493333333,1052.5535626666667,0.0,0.0,0.0,0.0,0.0,0.0,567.3868778666666,0.0,0.0,0.0,0.0,0.0,0.0,567.3868778666666,0.0,0.0,0.0,0.0,0.0,0.0,567.3868778666666
34.0,1052.4577853333333,134.08777086666666,134.08777086666666,0.0,0.0,0.0,134.08777086666666,1052.4577853333333,134.08777086666666,0.0,0.0,0.0,134.08777086666666,134.08777086666666,1052.4577853333333,0.0,0.0,0.0,0.0,0.0,0.0,567.3265577333333,0.0,0.0,0.0,0.0,0.0,0.0,567.3265577333333,0.0,0.0,0.0,0.0,0.0,0.0,567.3265577333333
36.0,1052.362008,134.0762868,134.0762868,0.0,0.0,0.0,134.0762868,1052.362008,134.0762868,0.0,0.0,0.0,134.0762868,134.0762868,1052.362008,0.0,0.0,0.0,0.0,0.0,0.0,567.2662376,0.0,0.0,0.0,0.0,0.0,0.0,567.2662376,0.0,0.0,0.0,0.0,0.0,0.0,567.2662376
38.0,1052.2662306666666,134.06480273333332,134.06480273333332,0.0,0.0,0.0,134.06480273333332,1052.2662306666666,134.06480273333332,0.0,0.0,0.0,134.06480273333332,134.06480273333332,1052.2662306666666,0.0,0.0,0.0,0.0,0.0,0.0,567.2059174666666,0.0,0.0,0.0,0.0,0.0,0.0,567.2059174666666,0.0,0.0,0.0,0.0,0.0,0.0,567.2059174666666
